Time, P (deg/s), Q (deg/s), R (deg/s), P dot (deg/s^2), Q dot (deg/s^2), R dot (deg/s^2), P_{inertial} (deg/s), Q_{inertial} (deg/s), R_{inertial} (deg/s), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{X_{inertial}} (ft/s), V_{Y_{inertial}} (ft/s), V_{Z_{inertial}} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), X_{ECI} (ft), Y_{ECI} (ft), Z_{ECI} (ft), X_{ECEF} (ft), Y_{ECEF} (ft), Z_{ECEF} (ft), Earth Position Angle (deg), Distance AGL (ft), Terrain Elevation (ft), vc-fps, h-sl-ft
2.77, 0.1273459202529274,  1.177375471798242, 0.7861759159947325, 0.1718534825855454,  8.604903606233666, -0.01159823798328301, 0.1296220220349048,  1.177287260636475, 0.7826733622230516, 0.8629812598, 122639.8275, 27.3188249461, 1041.42211079,  20.88722182150045, -0.08981890261905591,  17.60778502762815,  20.88722182150045, -0.08981890261905591,  17.60778502762815, -868.3809447844012, -574.8592790875505, -3.369987538641441,  17.51935022821874, 0.3423871997815419,  20.95884860915399, 945.14133019745, 945.14133019373, 0.1614182381759096,  -9.97336053735396,  1.575505985815667, 40.130659457326, -0.18837754999645, 47.000139028533, 122.00000115489, -7565390.623117751,  12101695.58961536,  15304777.44970736, -7562937.202306983,  12103229.00295763,  15304777.44970736, 0.011615046087628, 945.14133019373, 0, 20.599465024065172, 945.1413301974535
2.78, 0.1290122718981602,  1.260910808711286, 0.7860153497239785, 0.1684420782141845,  8.437297214271426, -0.0145405207338479, 0.1312891072852123,  1.260822206850151, 0.7825132826508106, 0.8640810055, 122718.186, 27.3361420377, 1041.42518173,  20.90849758254313, -0.0903489227202971,  17.60940735568067,  20.90849758254313, -0.0903489227202971,  17.60940735568067, -868.3726299496661, -574.8774947233552, -3.354213261279585,  17.54443540492119, 0.3450308424183991,  20.96040079639883, 944.93170316145, 944.93170316517, 0.1613126917729139, -9.961182456819437,  1.583522415340846, 40.104517237951, -0.18936912798439, 47.000139508415, 122.00000116859,  -7565399.30696951,  12101689.84111474,  15304777.41592964, -7562937.061512308,  12103228.77120143,  15304777.41592964, 0.011656826828951, 944.93170316517, 0, 20.620511340846857, 944.93170316144824
2.79, 0.1306443667943106,  1.342784153717765, 0.7858268731738203, 0.1650243922753281,  8.270628887216667, -0.01737973756514209, 0.1329219861727178,  1.342695160126008, 0.7823253258640975, 0.865164016, 122795.3076, 27.3531833937, 1041.42825406,  20.92940448726777, -0.09087042511130333,  17.61103097905715,  20.92940448726777, -0.09087042511130333,  17.61103097905715, -868.3644628036547,  -574.895489842491, -3.338240542496419,  17.56946060834374, 0.3476828667987346,  20.96162713930211, 944.72205961868, 944.72205961868, 0.1612253285004489, -9.948177364694031,  1.591539100975121, 40.078907647387, -0.19034352760351, 47.000139988974, 122.00000118239, -7565407.990737384,  12101684.09243087,  15304777.38230863, -7562936.920638146,  12103228.53926819,  15304777.38230863, 0.011698607570273, 944.72205961868, 0, 20.641194015306741, 944.72205961868167
2.8,  0.132242177830649,  1.423005209875296, 0.7856115077689635, 0.1616027360210739,  8.104920120930659, -0.02011654562902911, 0.1345206305518341,  1.422915823547753, 0.7821105126623875, 0.8662302848, 122871.194, 27.3699494319, 1041.43132763,  20.94994375607875, -0.09138334711313639,  17.61265560920115,  20.94994375607875, -0.09138334711313639,  17.61265560920115, -868.3564435401254, -574.9132638465702, -3.322075694038032,  17.59442103235457, 0.3503431228782448,  20.96253181607148, 944.51240285113, 944.51240285113, 0.1611559778725685, -9.934361835095217,   1.59955569914526, 40.053826804906, -0.19130067625634, 47.000140470209, 122.0000011963, -7565416.674422848,  12101678.34356595,  15304777.34884637, -7562936.779685969,   12103228.3071601,  15304777.34884637, 0.011740388311596, 944.51240285113, 0, 20.661514246718092, 944.51240285113454
2.81, 0.1338057000124457,  1.501583884972648, 0.7853702673161196, 0.1581793546175834,  7.940191729423306, -0.02275167157221155, 0.1360850343981952,   1.50149410493001, 0.7818698562322066, 0.8672798088, 122945.8473, 27.3864406186, 1041.43440229,  20.97011666828687, -0.09188763167418121,  17.61428094862068,  20.97011666828687, -0.09188763167418121,  17.61428094862068, -868.3485723158981, -574.9308161935301, -3.305724987879132,  17.61931194842876, 0.3530114590385137,  20.96311902196576, 944.30273610353, 944.30273610353, 0.1611044646817031, -9.919752344059267,  1.607571878224316, 40.029270779847, -0.19224051185804, 47.000140952118, 122.00000121031,  -7565425.35802738,  12101672.59452218,  15304777.31554478, -7562936.638657258,  12103228.07487939,  15304777.31554478, 0.011782169052918, 944.30273610353, 0, 20.681473292417589, 944.3027361035347
2.82, 0.1353349498012593,  1.578530284874885,  0.785104157347633, 0.1547564272327931,  7.776463855763006, -0.02528590896357977,  0.137615213149152,  1.578440110163455, 0.7816043614907046, 0.868312589, 123019.2698, 27.4026574678, 1041.43747788,  20.98992456088332, -0.09238322727049611,  17.61590669151465,  20.98992456088332, -0.09238322727049611,  17.61590669151465,   -868.34084925112, -574.9481463973654, -3.289194655362689,  17.64412870595049, 0.3556877221712996,  20.96339296842366, 944.09306256846, 944.09306256846, 0.1610706092346145, -9.904365267526288,  1.615587318416244, 40.005235594118, -0.19316298258821, 47.0001414347, 122.00000122443, -7565434.041552459,  12101666.84530178,  15304777.28240578, -7562936.497553489,  12103227.84242825,  15304777.28240578, 0.01182394979424, 944.09306256846, 0, 20.701072466670844, 944.09306256845593
2.83, 0.1368299644549428,  1.653854706974762, 0.7848141744907126,  0.151336067046524,  7.613755982796122, -0.02772011572963023, 0.1391112030439795,  1.653764136666201, 0.7813150244548334, 0.8693286296, 123091.464, 27.4186005409, 1041.44055424,  21.00936882732628,  -0.09287008780509,  17.61753252438841,  21.00936882732628,  -0.09287008780509,  17.61753252438841, -868.3332744295457, -574.9652540278405, -3.272490886349571,  17.66886673249032, 0.3583717577623172,  20.96335788218238, 943.88338540494, 943.88338540494, 0.1610542275854825, -9.888216879391365,  1.623601711633816, 39.981717224633, -0.19406804664367, 47.000141917953, 122.00000123866, -7565442.724999567,  12101661.09590697,  15304777.24943118, -7562936.356376148,  12103227.60980892,  15304777.24943118, 0.011865730535563, 943.88338540494, 0, 20.720313139525253, 943.88338540494442
2.84, 0.1382977895673172,  1.729362369382816,  0.784503392279816, 0.1483699297601772,  7.571736044946889, -0.02991333155401053, 0.1405800486637458,  1.729271402573867, 0.7810049180536803, 0.8703279385, 123162.4325, 27.4342704462, 1041.44363056,  21.02845091633945, -0.09334817250560373,  17.61915812665803,  21.02845091633945, -0.09334817250560373,  17.61915812665803, -868.3258530196632, -574.9821297030666, -3.255631987395292,  17.69352153405706, 0.3610634099748294,  20.96301800438631, 943.67370771989, 943.67370771617, 0.1610551317660512,  -9.87132334962055,  1.631614761369719, 39.958711605693, -0.19495567199084, 47.000142401874, 122.000001253, -7565451.408370185,  12101655.34633997,  15304777.21662275, -7562936.215126713,  12103227.37702362,  15304777.21662275, 0.011907511276885, 943.67370771617, 0, 20.739196735382876, 943.67370771989226
2.85, 0.1397355300901702,  1.804735717035408, 0.7841723214569603, 0.1453787771733976,   7.54877500735094, -0.03199491745803212, 0.1420188555969116,  1.804644352839883, 0.7806745535017441, 0.871309966, 123232.1387, 27.4496589961, 1041.44670575,  21.04715701054196, -0.09381741372241526,  17.62078769713928,  21.04715701054196, -0.09381741372241526,  17.62078769713928, -868.3185921868512, -574.9987605092674, -3.238641101211105,  17.71808267796468, 0.3637623752553901,  20.96237110043459, 943.46403257921, 943.46403257549, 0.1610732181385231, -9.853673821597376,   1.63962629082068, 39.936242402675, -0.19582583219547, 47.000142886462, 122.00000126744, -7565460.091665822,  12101649.59660305,  15304777.18398214, -7562936.073806694,   12103227.1440746,  15304777.18398214, 0.011949292018208, 943.46403257549, 0, 20.757709622694676, 943.46403257921338
2.86, 0.1411417064044511,  1.879494915690858,  0.783821449235559, 0.1422844105392534,   7.50017798972388, -0.03400749799922047,  0.143426144017744,  1.879403153244729, 0.7803244179375936, 0.8722739385, 123300.5299, 27.4647544949, 1041.44977939,  21.06545894059233, -0.09427770994834907,  17.62243714139288,  21.06545894059233, -0.09427770994834907,  17.62243714139288, -868.3114937791588, -575.0151428618567, -3.221528913409398,  17.74251854146807, 0.3664677424730045,  20.96142830691903, 943.25436298177, 943.25436298177, 0.1611083130291349, -9.835271228026278,  1.647636076657794, 39.914371176902, -0.19667845534838, 47.000143371713, 122.000001282, -7565468.774888048,   12101643.8466986,  15304777.15151077, -7562935.932417658,  12103226.91096428,  15304777.15151077, 0.01199107275953, 943.25436298177, 0, 20.775824014914232, 943.25436298176646
