Time, P (deg/s), Q (deg/s), R (deg/s), P dot (deg/s^2), Q dot (deg/s^2), R dot (deg/s^2), P_{inertial} (deg/s), Q_{inertial} (deg/s), R_{inertial} (deg/s), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{X_{inertial}} (ft/s), V_{Y_{inertial}} (ft/s), V_{Z_{inertial}} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), X_{ECI} (ft), Y_{ECI} (ft), Z_{ECI} (ft), X_{ECEF} (ft), Y_{ECEF} (ft), Z_{ECEF} (ft), Earth Position Angle (deg), Distance AGL (ft), Terrain Elevation (ft), vc-fps, h-sl-ft
20.56, 0.05016133848187875, 0.005915771278472462,  0.884258517640372, 0.01433105078562436, -0.004838926909203602, -0.02910096983813757, 0.04739393280123765, 0.007250968948840094, 0.8814274372049421, 0.8609703311, 122888.4808, 27.149968832, 1032.15391649,  20.65964584607393, -0.06380315695883532,  17.61521416993482,  20.65964584607393, -0.06380315695883532,  17.61521416993482, -873.7259642890136, -548.8963496020599, -25.64067176260913, -16.80150956404888, -8.876645885818997,  19.39162813343379, 602.72128424421, 602.72128424421, 0.4982103464884434, -5.132685484732204,  208.5028078657996, 40.452194796876, -0.1346467467707, 46.99974632628, 122.0000684984, -7581029.269735966,  12091753.18057222,  15304429.20159339, -7562883.262675999,  12103111.02665786,  15304429.20159339, 0.085942984900181, 602.72128424421, 0, 20.477832413652958, 602.72128424420953
20.57, 0.05030329881788502, 0.005868176933305025,  0.883969848428012, 0.01425496062204799, -0.004759129892980646, -0.02894590674392028, 0.04753610210963372, 0.00720377679645494, 0.8811387534392654, 0.8609697875, 122888.6639, 27.1498829641, 1032.15128597,  20.65957595888672, -0.06385157009108688,  17.61516361377809,  20.65957595888672, -0.06385157009108688,  17.61516361377809, -873.7228106879309, -548.8964711442858, -25.63964092181881, -16.80005178372237,  -8.87925154831875,  19.39157798790092, 602.52737336978, 602.52737336606, 0.4979185279367461, -5.132702904760573,  208.5116845116697, 40.452209301688, -0.13474934160253, 46.999745866224, 122.0000681421, -7581038.007011383,  12091747.69160933,  15304428.94518152, -7562883.182449198,  12103111.06575155,  15304428.94518152, 0.085984765641504, 602.52737336606, 0, 20.477821436384598, 602.52737336978316
20.58, 0.05044450446514547, 0.005821376394885039, 0.8836827171924891, 0.01417928279919968, -0.004679626471196273, -0.0287916881616246, 0.04767751670090046, 0.007157378209448861, 0.8808516076369006, 0.8609692528, 122888.8476, 27.149797237, 1032.14865676,  20.65950625383262, -0.06389972504519648,  17.61511306190935,  20.65950625383262, -0.06389972504519648,  17.61511306190935, -873.7196582085355, -548.8965933250448, -25.63861033174417, -16.79859421023365, -8.881855919971962,  19.39152799217751, 602.333463002, 602.333463002, 0.4976283813999042, -5.132720726819468,  208.5205582632417, 40.452223564096, -0.13485139153442, 46.999745406207, 122.00006778568, -7581046.744255258,  12091742.20264523,  15304428.68877995, -7562883.102194822,  12103111.10485031,  15304428.68877995, 0.086026546382826, 602.333463002, 0, 20.47781063924845, 602.33346300199628
20.59, 0.05058495950883587, 0.005775366534505858, 0.8833971155588103, 0.01410401481467074, -0.004600429419232161, -0.02863830943145686, 0.04781818066088506, 0.00711177006025226,  0.880565991422626, 0.860968727, 122889.032, 27.1497116505, 1032.14602883,  20.65943673038887, -0.06394762322493719,   17.6150625144388,  20.65943673038887, -0.06394762322493719,   17.6150625144388, -873.7165068455342, -548.8967161397619, -25.63757999008541, -16.79713684282682, -8.884459007701388,  19.39147814385838, 602.13955312967, 602.1395531334, 0.4973398979073146, -5.132738943405742,  208.5294291359926, 40.452237584989, -0.13495289952371, 46.99974494623, 122.00006742916, -7581055.481467602,   12091736.7136799,   15304428.4323887, -7562883.021912882,  12103111.14395412,   15304428.4323887, 0.086068327124149, 602.1395531334, 0, 20.477800021670571, 602.139553129673
20.6, 0.05072466801083934, 0.005730144099698145, 0.8831130351984368, 0.01402915428126196, -0.004521551246765074, -0.02848576590320087, 0.04795809805213908, 0.00706694909752654, 0.8802818964676755, 0.86096821, 122889.217, 27.1496262041, 1032.14340219,  20.65936738800031, -0.06399526602549344,   17.6150119714743,  20.65936738800031, -0.06399526602549344,   17.6150119714743, -873.7133565936663, -548.8968395839061, -25.63654989452933, -16.79567968072088, -8.887060818378314,  19.39142844054276, 601.94564375654, 601.94564375654, 0.4970530685378512,  -5.13275754704555,  208.5382971453153, 40.452251365299, -0.13505386850981, 46.999744486292, 122.00006707254, -7581064.218648427,  12091731.22471336,  15304428.17600774, -7562882.941603388,  12103111.18306297,  15304428.17600774, 0.086110107865471, 601.94564375654, 0, 20.477789583043236, 601.94564375653863
20.61, 0.05086363400877115, 0.005685705716135829, 0.8828304678288362, 0.0139546987851631, -0.004443004247910963, -0.02833405295955253, 0.04809727291294318, 0.007022911948070079, 0.8799993144892905, 0.8609677019, 122889.4026, 27.1495408975, 1032.14077683,  20.65929822608114, -0.06404265483347338,  17.61496143312033,  20.65929822608114, -0.06404265483347338,  17.61496143312033, -873.7102074477034, -548.8969636529909, -25.63552004274973, -16.79422272311096, -8.889661358823416,  19.39137887983385, 601.75173488259, 601.75173488259, 0.4967678844195893, -5.132776530295652,  208.5471623065183, 40.452264905992, -0.13515430141419, 46.999744026395, 122.00006671581, -7581072.955797744,  12091725.73574558,   15304427.9196371, -7562882.861266353,  12103111.22217686,   15304427.9196371, 0.086151888606793, 601.75173488259, 0, 20.47777932292761, 601.75173488259315
20.62, 0.05100186151573487, 0.00564204789207603, 0.8825494052132498, 0.01388064588738821, -0.004364800348913928, -0.02818316600983024, 0.04823570925706324, 0.006979655121258203, 0.8797182372504858, 0.8609672025, 122889.5889, 27.1494557304, 1032.13815274,  20.65922924401434, -0.06408979102761769,  17.61491089947877,  20.65922924401434, -0.06408979102761769,  17.61491089947877, -873.7070594024491, -548.8970883425742, -25.63449043240784, -16.79276596916764, -8.892260635805833,  19.39132945933995, 601.55782650411, 601.55782650411, 0.4964843367295173, -5.132795885744589,  208.5560246348271, 40.452278208075, -0.13525420114194, 46.999743566538, 122.00006635898, -7581081.692915564,  12091720.24677656,  15304427.66327675, -7562882.780901788,  12103111.26129579,  15304427.66327675, 0.086193669348116, 601.55782650411, 0, 20.477769240580834, 601.55782650411129
20.63, 0.0511393545219346, 0.005599167019008366, 0.8822698391606176, 0.01380699324808125, -0.004286951310086893, -0.0280331004770944, 0.04837341107536253, 0.006937175009692525, 0.8794386565599779, 0.860966712, 122889.7758, 27.1493707022, 1032.13552991,  20.65916044115297, -0.06413667597837858,  17.61486037064852,  20.65916044115297, -0.06413667597837858,  17.61486037064852, -873.7039124527386, -548.8972136482587, -25.63346106115283, -16.79130941803754, -8.894858656044168,  19.39128017667454, 601.36391862109, 601.36391862109, 0.4962024166932399,  -5.13281560601387,  208.5648841453839, 40.45229127259, -0.13535357058081, 46.99974310672, 122.00006600204, -7581090.430001899,   12091714.7578063,  15304427.40692669, -7562882.700509703,  12103111.30041975,  15304427.40692669, 0.086235450089438, 601.36391862109, 0, 20.477759335428949, 601.36391862109303
20.64, 0.05127611699393849, 0.005557059375102903, 0.8819917615251981, 0.01373373851132721, -0.004209468606583359, -0.02788385181444802, 0.04851038233506515, 0.006895467892648933,  0.879160564271801, 0.8609662302, 122889.9633, 27.1492858125, 1032.13290835,  20.65909181682055, -0.06418331104772257,  17.61480984672589,  20.65909181682055, -0.06418331104772257,  17.61480984672589, -873.7007665934384, -548.8973395656914, -25.63243192662217, -16.78985306884302, -8.897455426206834,  19.39123102945718, 601.17001123354, 601.17001123726, 0.4959221155846999, -5.132835683759161,  208.5737408532485, 40.452304100615, -0.13545241260083, 46.999742646943, 122.000065645, -7581099.167056758,  12091709.26883479,  15304427.15058694, -7562882.620090109,  12103111.33954872,  15304427.15058694, 0.086277230830761, 601.17001123726, 0, 20.47774960676287, 601.17001123353839
20.65, 0.05141215287427455, 0.005515721127800791, 0.8817151642062913, 0.01366087928884244, -0.004132363445794927, -0.02773541550340988, 0.04864662697935187, 0.006854529938668254, 0.8788839522850332, 0.8609657571, 122890.1514, 27.1492010609, 1032.13028803,  20.65902337031183, -0.06422969758983044,  17.61475932780412,  20.65902337031183, -0.06422969758983044,  17.61475932780412, -873.6976218194461,  -548.897466090564, -25.63140302644211, -16.78839692068292, -8.900050952911842,  19.39118201531341, 600.976104334, 600.976104334, 0.4956434247258972, -5.132856111671427,  208.5825947733983, 40.452316693264, -0.13555073005578, 46.999742187205, 122.00006528786, -7581107.904080153,  12091703.77986203,  15304426.89425747, -7562882.539643018,  12103111.37868271,  15304426.89425747, 0.086319011572083, 600.976104334, 0, 20.47774005390729, 600.97610433399677
