Time, P (deg/s), Q (deg/s), R (deg/s), P dot (deg/s^2), Q dot (deg/s^2), R dot (deg/s^2), P_{inertial} (deg/s), Q_{inertial} (deg/s), R_{inertial} (deg/s), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{X_{inertial}} (ft/s), V_{Y_{inertial}} (ft/s), V_{Z_{inertial}} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), X_{ECI} (ft), Y_{ECI} (ft), Z_{ECI} (ft), X_{ECEF} (ft), Y_{ECEF} (ft), Z_{ECEF} (ft), Earth Position Angle (deg), Distance AGL (ft), Terrain Elevation (ft), vc-fps, h-sl-ft
20.69, 0.04698544696881641, 0.002381003515751101, 0.6490429395883061, 8.697771396030589e-005, -0.0001349816653055893, -0.0003673407414450428, 0.04950194904790112, 0.001650877433597525, 0.6457886444813847, 0.7876988393, 117568.0698, 25.960315624, 1044.76173121,  16.78721290332056, -0.04012721946973175,  19.80216806413156,  16.78721290332056, -0.04012721946973175,  19.80216806413156, -871.5518350718357, -576.1044377177789, -5.305716362201386,  14.76279299991729,  3.759150261528375,  21.02062604641014, 579.90397744253, 579.90397743881,  0.165283469939186, -4.359053918488153,  14.65178157590816, 49.71051505256, -0.088562915337291, 47.000958949948, 122.000161655, -7580983.228291391,    12091381.371924,  15304714.56137532, -7562723.047716324,  12102810.84263017,  15304714.56137532, 0.086486134537373, 579.90397743881, 0, 16.645043726460653, 579.90397744253278
20.7, 0.04698638811340452, 0.002380016439802114, 0.6490392754877155, 8.631032090629856e-005, -0.000131582318002087, -0.0003662513087913022, 0.04950280881892329, 0.001649578608200007, 0.6457849874150627, 0.7876988372, 117568.2997, 25.9602354844, 1044.76337845,  16.78716100416379, -0.04012740119491631,  19.80210699940857,  16.78716100416379, -0.04012740119491631,  19.80210699940857, -871.5530240545951, -576.1056237157769, -5.305990642803848,  14.76232002603838,  3.760824347260664,  21.02055979313573, 579.69377671182, 579.69377671182, 0.1652585846268953, -4.359048418295755,  14.65829096796626, 49.710515274396, -0.088563589811107, 47.000959354141, 122.00016180588, -7580991.943803797,  12091375.61088556,  15304714.50831952, -7562722.946408232,  12102810.60958183,  15304714.50831952, 0.086527915278695, 579.69377671182, 0, 16.64504362523051, 579.69377671182156
20.71, 0.04698732268012248, 0.002379062604262243, 0.6490356221680572, 8.564697643251022e-005, -0.0001282324844164324, -0.0003651692883659254, 0.04950366197667376, 0.00164831303356341, 0.6457813411318893, 0.7876988355, 117568.5297, 25.9601553506, 1044.76502562,   16.7871091115579, -0.0401275810638555,   19.8020459366903,   16.7871091115579, -0.0401275810638555,   19.8020459366903, -871.5542130459285, -576.1068095688355, -5.306265051380981,  14.76184686915187,  3.762498363026328,  21.02049354414942, 579.48357664421, 579.48357664049, 0.1652337121102023,  -4.35904292488283,  14.66480032330294, 49.710515488066, -0.088564260172568, 47.000959758322, 122.00016195684, -7581000.659328092,  12091369.84983525,  15304714.45526099, -7562722.845116408,  12102810.37652794,  15304714.45526099, 0.086569696020017, 579.48357664049, 0, 16.645043530109081, 579.48357664421201
20.72, 0.04698825070872778, 0.002378141516534583, 0.6490319795559894, 8.498763322274134e-005, -0.0001249319950192368, -0.0003640946272563855, 0.04950450856092896, 0.00164708021709376, 0.6457777055585359, 0.7876988341, 117568.7597, 25.9600752224, 1044.76667272,  16.78705722542087, -0.04012775908809385,  19.80198487596846,  16.78705722542087, -0.04012775908809385,  19.80198487596846, -871.5554020458864, -576.1079952769368, -5.306539587832089,  14.76137352929599,   3.76417230885807,   21.0204272993496, 579.27337724343, 579.27337724343, 0.1652088523145043, -4.359037437921256,  14.67130964202696, 49.710515693697, -0.088564926447316, 47.00096016249, 122.00016210786, -7581009.374864277,  12091364.08877309,  15304714.40219971, -7562722.743840854,  12102810.14346849,  15304714.40219971, 0.08661147676134, 579.27337724343, 0, 16.645043440971701, 579.27337724342942
20.73, 0.04698917223923931, 0.002377252685372916,  0.649028347578786, 8.433229292982859e-005, -0.0001216807032344554, -0.0003630272667052718, 0.04950534861172645, 0.001645879667547778, 0.6457740806222905, 0.7876988331, 117568.9897, 25.9599951, 1044.76831974,  16.78700534567049, -0.04012793527874803,  19.80192381723419,  16.78700534567049, -0.04012793527874803,  19.80192381723419, -871.5565910545188, -576.1091808400621, -5.306814252058333,  14.76090000650708,  3.765846184788151,   21.0203610586353, 579.06317850202, 579.06317850202, 0.1651840051656968, -4.359031957087765,  14.67781892424635, 49.710515891413, -0.088565588660054, 47.000960566644, 122.00016225895, -7581018.090412353,  12091358.32769906,  15304714.34913569, -7562722.642581569,  12102809.91040349,  15304714.34913569, 0.086653257502662, 579.06317850202, 0, 16.645043357859922, 579.06317850202322
20.74, 0.04699008731055474, 0.002376395621496807, 0.6490247261641545, 8.368088132889743e-005, -0.0001184784291521848, -0.0003619671583184108, 0.04950618216798231, 0.001644710895647977, 0.6457704662508734, 0.7876988323, 117569.2197, 25.9599149831, 1044.7699667,  16.78695347222482, -0.04012810964710911,  19.80186276047858,  16.78695347222482, -0.04012810964710911,  19.80186276047858, -871.5577800718755, -576.1103662581922, -5.307089043962719,  14.76042630082009,  3.767519990847952,  21.02029482190684, 578.85298041999, 578.85298041999, 0.1651591705901425, -4.359026482064028,  14.68432817006838, 49.710516081339, -0.088566246835867, 47.000960970786, 122.0001624101, -7581026.805972319,  12091352.56661318,  15304714.29606892, -7562722.541338554,  12102809.67733293,  15304714.29606892, 0.086695038243985, 578.85298041999, 0, 16.645043280524416, 578.8529804199934
20.75, 0.04699099596192301, 0.002375569837254792, 0.6490211152404285, 8.303339707965449e-005, -0.000115325004210818, -0.0003609142442258906, 0.04950700926896361, 0.00164357341374585, 0.6457668623726314, 0.7876988318, 117569.4498, 25.9598348717, 1044.77161358,  16.78690160500192, -0.04012828220417841,  19.80180170569235,  16.78690160500192, -0.04012828220417841,  19.80180170569235, -871.5589690980061, -576.1115515313072, -5.307363963450058,  14.75995241226827,  3.769193727068337,  21.02022858906549, 578.64278300479, 578.64278300479,  0.165134348514723, -4.359021012536582,  14.69083737959958, 49.710516263602, -0.088566900999204, 47.000961374915, 122.00016256133, -7581035.521544174,  12091346.80551545,   15304714.2429994, -7562722.440111807,  12102809.44425684,   15304714.2429994, 0.086736818985307, 578.64278300479, 0, 16.64504320900673, 578.64278300479054
20.76, 0.04699189823180783, 0.002374774847569291,  0.649017514736397, 8.238978736144361e-005, -0.0001122202006329127, -0.0003598684747413918, 0.04950782995315189, 0.001642466736766777, 0.6457632689163664, 0.7876988316, 117569.6799, 25.9597547658, 1044.77326039,  16.78684974392017, -0.04012845296113121,  19.80174065286614,  16.78684974392017, -0.04012845296113121,  19.80174065286614, -871.5601581329594, -576.1127366593865, -5.307639010426938,  14.75947834088358,  3.770867393479303,  21.02016236001373, 578.43258624896, 578.43258624896, 0.1651095388667684,  -4.35901554819679,  14.69734655294577, 49.710516438324, -0.088567551174897, 47.000961779031, 122.00016271262,  -7581044.23712792,  12091341.04440586,  15304714.18992714, -7562722.338901329,  12102809.21117519,  15304714.18992714, 0.086778599726629, 578.43258624896, 0, 16.6450431431822, 578.43258624896407
20.77, 0.04699279415887775, 0.002374010169250174, 0.6490139245814598, 8.17500482049571e-005, -0.0001091638166477889, -0.0003588297926552752, 0.04950864425923333, 0.0016413903815236, 0.6457596858114907, 0.7876988317, 117569.9099, 25.9596746653, 1044.77490712,  16.78679788889816, -0.04012862192880329,  19.80167960199029,  16.78679788889816, -0.04012862192880329,  19.80167960199029, -871.5613471767841, -576.1139216424091, -5.307914184801759,  14.75900408669648,  3.772540990110438,  21.02009613465508, 578.22239015624, 578.22239015624, 0.1650847415740918, -4.359010088740898,  14.70385569021201, 49.710516605629, -0.088568197387028, 47.000962183133, 122.00016286398, -7581052.952723556,  12091335.28328442,  15304714.13685212, -7562722.237707123,    12102808.978088,  15304714.13685212, 0.086820380467952, 578.22239015624, 0, 16.645043082967717, 578.22239015623927
20.78, 0.0469936837810628, 0.002373275320923212, 0.6490103447054636, 8.111412906179838e-005, -0.0001061556639470904, -0.0003577981490693154, 0.04950945222515527, 0.00164034386664507, 0.6457561129878634, 0.7876988321, 117570.1401, 25.9595945702, 1044.77655379,  16.78674603985442, -0.04012878911800388,  19.80161855305479,  16.78674603985442, -0.04012878911800388,  19.80161855305479, -871.5625362295285, -576.1151064803531, -5.308189486484697,  14.75852964973571,  3.774214516990584,  21.02002991289393, 578.01219472662, 578.01219472662, 0.1650599565649808, -4.359004633869913,  14.71036479150266, 49.71051676564, -0.088568839659623, 47.000962587223, 122.0001630154, -7581061.668331083,  12091329.52215113,  15304714.08377435, -7562722.136529185,  12102808.74499526,  15304714.08377435, 0.086862161209274, 578.01219472662, 0, 16.645043028238611, 578.01219472661614
20.79, 0.04699456713605786, 0.002372569824053638, 0.6490067750387951, 8.048199734014327e-005, -0.0001031954904672112, -0.000356773491736834, 0.04951025388862965, 0.001639326713599403, 0.6457525503758836, 0.7876988327, 117570.3702, 25.9595144803, 1044.77820038,  16.78669419670815, -0.04012895453967691,  19.80155750604981,  16.78669419670815, -0.04012895453967691,  19.80155750604981, -871.5637252912405, -576.1162911731963, -5.308464915387673,   14.7580550300291,  3.775887974147811,  21.01996369463621, 577.80199995637, 577.80199995264, 0.1650351837682046, -4.358999183289662,  14.71687385692134, 49.710516918478, -0.088569478017004, 47.0009629913, 122.00016316689,   -7581070.3839505,  12091323.76100599,  15304714.03069384, -7562722.035367518,  12102808.51189698,  15304714.03069384, 0.086903941950597, 577.80199995264, 0, 16.64504297903644, 577.8019999563694
20.8, 0.04699544426173179, 0.002371893202116848, 0.6490032155124164, 7.985365379174399e-005, -0.0001002830781657228, -0.0003557557648782968, 0.04951104928754214, 0.00163833844586499, 0.6457489979065252, 0.7876988337, 117570.6004, 25.9594343956, 1044.77984691,  16.78664235937836, -0.04012911820416287,  19.80149646096483,  16.78664235937836, -0.04012911820416287,  19.80149646096483, -871.5649143619676, -576.1174757209157, -5.308740471424365,  14.75758022760253,  3.777561361609986,  21.01989747978841, 577.59180585295, 577.59180585295, 0.1650104231129613, -4.358993736710723,  14.72338288657099, 49.710517064264, -0.088570112482164, 47.000963395364, 122.00016331845, -7581079.099581808,    12091317.999849,  15304713.97761056,  -7562721.93422212,  12102808.27879315,  15304713.97761056, 0.086945722691919, 577.59180585295, 0, 16.645042935194976, 577.59180585294962
20.81, 0.04699631519458856, 0.002371244981147332, 0.6489996660576487, 7.922900763380922e-005, -9.74181837755057e-005, -0.0003547449259757704, 0.04951183845841323, 0.001637378589479323, 0.6457454555111215, 0.7876988349, 117570.8305, 25.9593543162, 1044.78149336,  16.78659052778457, -0.04012928012245254,  19.80143541778956,  16.78659052778457, -0.04012928012245254,  19.80143541778956, -871.5661034417567, -576.1186601234879, -5.309016154510164,  14.75710524248092,  3.779234679403703,  21.01983126825856, 577.38161240891, 577.38161240891,  0.164985674528948, -4.358988293848444,  14.72989188055381, 49.710517203121, -0.088570743079527, 47.000963799415, 122.00016347008, -7581087.815225006,  12091312.23868016,  15304713.92452453, -7562721.833092993,  12102808.04568379,  15304713.92452453, 0.086987503433241, 577.38161240891, 0, 16.645042896589551, 577.38161240890622
