Time, P (deg/s), Q (deg/s), R (deg/s), P dot (deg/s^2), Q dot (deg/s^2), R dot (deg/s^2), P_{inertial} (deg/s), Q_{inertial} (deg/s), R_{inertial} (deg/s), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{X_{inertial}} (ft/s), V_{Y_{inertial}} (ft/s), V_{Z_{inertial}} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), X_{ECI} (ft), Y_{ECI} (ft), Z_{ECI} (ft), X_{ECEF} (ft), Y_{ECEF} (ft), Z_{ECEF} (ft), Earth Position Angle (deg), Distance AGL (ft), Terrain Elevation (ft), vc-fps, h-sl-ft, elevator-cmd-norm, aileron-cmd-norm, rudder-cmd-norm
12.88, 0.9848761275007626,  1.123083989755545, -0.9263208970484085, -0.4825089995062566, -3.126308633923668, 0.8565408116828458, 0.9874384367810453,  1.123486792594559, -0.9295963549522069, 0.8792456704, 124024.8566, 27.492792695, 1039.06237834,    21.023469376557, -0.3831787670651592,  17.71215852393511,    21.023469376557, -0.3831787670651592,  17.71215852393511, -865.8093943571032, -574.4768506883394, -1.032839117565495,  19.33746515259376, -2.003616473590357,  19.43969168146825, 741.99514694884, 741.99514694884, -1.612420773787051, -4.878631276721184,  353.7445125872923, 40.113955402521, -0.79858154979342, 47.000596538976, 122.00027348243, -7574229.439150029,   12095857.8449695,  15304742.83782492, -7562856.549449361,  12102971.92490539,  15304742.83782492, 0.053855375564579, 741.99514694884, 0, 20.795870918087104, 741.99514694884419, 0, 0, 0
12.89, 0.9800841411560302,  1.092439725034751, -0.917797737495339, -0.4802591798794041, -3.085063657110832, 0.8537581793038339, 0.9826470187503275,  1.092842378647863, -0.9210727690919797, 0.878820002, 123995.0557, 27.4860583086, 1039.05768878,  21.01588420978716, -0.3815188934917279,  17.71074407130738,  21.01588420978716, -0.3815188934917279,  17.71074407130738, -865.8088633456807, -574.4691712415023, -1.031531642328671,  19.33320357639537, -2.008091870928159,  19.43394473225103, 741.8007469438, 741.8007469438, -1.601783778952869, -4.867818085148833,  353.7349505204778, 40.121888830642, -0.79531681655798, 47.000597068274, 122.00027340218, -7574238.097246712,  12095852.10016224,  15304742.82748933, -7562856.387317931,  12102971.70316395,  15304742.82748933, 0.053897156305902, 741.8007469438, 0, 20.78842725341633, 741.80074694380164, 0, 0, 0
12.9, 0.9753147774731601,  1.062179891164489, -0.9093026314308667, -0.478002470894196,  -3.04568666793071, 0.8509592436545607, 0.9778782065220628,  1.062582394639629, -0.912577249869439, 0.8783978183, 123965.4932, 27.4793768782, 1039.05305205,  21.00834859603091, -0.3798664120452555,  17.70935189069304,  21.00834859603091, -0.3798664120452555,  17.70935189069304, -865.8083485413853, -574.4615626356692, -1.030354719896241,  19.32889024131725,  -2.01251586359632,  19.42832817176074, 741.60640477762, 741.60640477762, -1.591204505222836, -4.857305072707112,  353.7254844929194, 40.129795045341, -0.79206437365477, 47.000597597458, 122.00027332175,    -7574246.755338,  12095846.35543213,  15304742.81716747, -7562856.225185379,  12102971.48150585,  15304742.81716747, 0.053938937047224, 741.60640477762, 0, 20.781032544841317, 741.60640477761626, 0, 0, 0
12.91, 0.9705680891981594,  1.032288359478703, -0.9008357377752588,  -0.47573990759129, -3.008007586048425, 0.8481443160145684, 0.9731320530614555,  1.032690711896212, -0.9041099560475083, 0.8779791426, 123936.171, 27.4727488086, 1039.04846768,  21.00086289600741, -0.3782213381812894,  17.70798219293272,  21.00086289600741, -0.3782213381812894,  17.70798219293272, -865.8078492791634, -574.4540250032039, -1.029306322612415,  19.32452683521145, -2.016888941572129,  19.42284090176655, 741.41211915016, 741.41211914644, -1.580682598174302, -4.847088537491035,  353.7161139883734, 40.137673832619, -0.78882426942451, 47.000598126525, 122.00027324114,  -7574255.41342406,  12095840.61077846,  15304742.80685804, -7562856.063051872,  12102971.25993038,  15304742.80685804, 0.053980717788546, 741.41211914644, 0, 20.773687150041312, 741.41211915016174, 0, 0, 0
12.92, 0.9658441165325999,  1.002750509356869, -0.8923972125614303, -0.4734726741849129, -2.971869181624786, 0.8453136900526166, 0.9684085987801997,  1.003152709789726, -0.8956710435082039, 0.8775639972, 123907.0907, 27.4661744817, 1039.04393518,  20.99342750015511, -0.376583684902069,  17.70663511749946,  20.99342750015511, -0.376583684902069,  17.70663511749946, -865.8073649108518, -574.4465584580379, -1.028384432332172,  19.32011502591374, -2.021211590898859,  19.41748180765329, 741.21788875759, 741.21788876131, -1.570217705761454, -4.837164930121952,  353.7068384965031, 40.145524824326, -0.78559654785243, 47.000598655474, 122.00027316036, -7574264.071505049,  12095834.86620053,  15304742.79655974, -7562855.900917567,  12102971.03843684,  15304742.79655974, 0.054022498529869, 741.21788876131, 0, 20.766391456130265, 741.21788875758648, 0, 0, 0
12.93,  0.961142886674882, 0.9735531129611292, -0.8839872089203709,  -0.47120203495978, -2.937126192520939, 0.8424676547300529, 0.9637078710785819, 0.9739551604751717, -0.8872606652374345, 0.8771524025, 123878.2541, 27.4596542572, 1039.03945408,   20.9860428247579, -0.3749534628697356,  17.70531073946883,   20.9860428247579, -0.3749534628697356,  17.70531073946883, -865.8068948043334, -574.4391630968447, -1.027587040691874,  19.31565646178613,  -2.02548429372571,  19.41224976011721, 741.02371230721, 741.02371230721, -1.559809478335321,  -4.82753083929902,  353.6976575123607, 40.15334751436, -0.78238124874063, 47.000599184305, 122.0002730794,  -7574272.72958112,  12095829.12169761,  15304742.78627128, -7562855.738782617,  12102970.81702451,  15304742.78627128, 0.054064279271191, 741.02371230721, 0, 20.759145875634612, 741.02371230721474, 0, 0, 0
12.94, 0.9564644137716597, 0.9446842279126767, -0.8756058769957916, -0.4689292839109844, -2.903644500745617,  0.839606503309657, 0.9590298842976841, 0.9450861215668285, -0.8788789712390649, 0.8767443779, 123849.6627, 27.4531884742, 1039.0350239,  20.97870930834955, -0.3733306805173896,  17.70400907594161,  20.97870930834955, -0.3733306805173896,  17.70400907594161, -865.8064383427644, -574.4318390001142, -1.026912149359492,  19.31115277220495, -2.029707528345372,  19.40714361672553, 740.829588525, 740.829588525, -1.549457568673892, -4.818182978459715,  353.6885705359163, 40.161141273623, -0.7791784078812, 47.000599713016, 122.00027299826, -7574281.387652419,    12095823.377269,  15304742.77599143,  -7562855.57664717,  12102970.59569269,  15304742.77599143, 0.054106060012514, 740.829588525, 0, 20.751950843261511, 740.82958852499723, 0, 0, 0
12.95, 0.9518086991559307, 0.9161330973854164, -0.8672533638129206,  -0.46665570886325, -2.871300363450581, 0.8367305394050322, 0.9543746399581862, 0.9165348362319152, -0.8705261084031735, 0.8763399414, 123821.3179, 27.4467774529, 1039.03064417,  20.97142740837981, -0.3717153441577921,  17.70273009195977,  20.97142740837981, -0.3717153441577921,  17.70273009195977, -865.8059949238661, -574.4245862331336,  -1.02635777026619,  19.30660556800014, -2.033881769229943,  19.40216222335193, 740.63551615179, 740.63551615179, -1.539161632018222, -4.809118173473165,  353.6795770716296, 40.168905363855, -0.77598805722933, 47.000600241605, 122.00027291696, -7574290.045719084,  12095817.63291399,  15304742.76571893, -7562855.414511364,  12102970.37444066,  15304742.76571893, 0.054147840753836, 740.63551615179, 0, 20.744806812325937, 740.63551615178585, 0, 0, 0
12.96, 0.9471757317851466, 0.8878900571153306, -0.8589298131190588, -0.4643825661912045, -2.839979695547159, 0.8338400808683184, 0.9497421271991378, 0.8882916401999581, -0.8622022203461139, 0.87593911, 123793.2211, 27.4404214951, 1039.02631444,  20.96419759812395, -0.3701074580886058,  17.70147370595137,  20.96419759812395, -0.3701074580886058,  17.70147370595137, -865.8055639592772,  -574.417404846884, -1.025921925821169,  19.30201644184948, -2.038007487064452,  19.39730441549672, 740.44149392843, 740.44149392471, -1.528921326111866, -4.800333351294579,  353.6706766280626, 40.1766389504, -0.77281022507371, 47.000600770072, 122.00027283548, -7574298.703781251,  12095811.88863186,  15304742.75545258, -7562855.252375335,  12102970.15326771,  15304742.75545258, 0.054189621495159, 740.44149392471, 0, 20.737714251836664, 740.44149392843246, 0, 0, 0
12.97, 0.9425654888120181, 0.8599464488652834, -0.8506353652092821, -0.462111063561077,  -2.80957740021425, 0.8309354620662929, 0.9451323233493684,  0.860347875227596, -0.8539074472357604, 0.8755418995, 123765.3735, 27.4341208853, 1039.02203423,  20.95702036382024, -0.3685070246941034,  17.70023979473893,  20.95702036382024, -0.3685070246941034,  17.70023979473893, -865.8051448739607, -574.4102948788584, -1.025602649111257,  19.29738696863132, -2.042085148778422,   19.3925690195013, 740.24752062187, 740.24752062559, -1.518736311241295, -4.791825529514295,  353.6618687175288, 40.184341113987, -0.76964493620359, 47.000601298415, 122.00027275384, -7574307.361839045,  12095806.14442191,  15304742.74519118, -7562855.090239209,  12102969.93217313,  15304742.74519118, 0.054231402236481, 740.24752062559, 0, 20.730673643608878, 740.24752062186599, 0, 0, 0
12.98, 0.9379779362403006, 0.8322945399139728, -0.8423701567467541,  -0.45984234852542, -2.779996744123946, 0.8280170349882031,  0.940545194583835, 0.8326958085875351, -0.8456419256114001, 0.8751483247, 123737.7765, 27.4278758921, 1039.01780309,  20.94989620201978, -0.3669140445433112,   17.6990281981426,  20.94989620201978, -0.3669140445433112,   17.6990281981426, -865.8047371056629, -574.4032563538079, -1.025397984086577,  19.29271870573946, -2.046115217575511,  19.38795485366494, 740.05359499156, 740.05359499156, -1.508606250275911, -4.783591806739324,  353.6531528557784, 40.192010861597, -0.76649221207232, 47.000601826633, 122.00027267204, -7574316.019892589,  12095800.40028341,  15304742.73493356, -7562854.928103109,   12102969.7111562,  15304742.73493356, 0.054273182977803, 740.05359499156, 0, 20.723685479703999, 740.05359499156475, 0, 0, 0
12.99, 0.9334130296289626, 0.8049274481662603, -0.8341343205845652, -0.4575775015081177, -2.751148774424082, 0.8250851695037635, 0.9359806966283025, 0.8053285581788791, -0.8374057882051864, 0.8747583993, 123710.4311, 27.4216867685, 1039.01362057,  20.94282561713487, -0.3653285164839666,   17.6978387232075,  20.94282561713487, -0.3653285164839666,   17.6978387232075, -865.8043401044179,  -574.396289284422, -1.025305985733713,  19.28801319336319, -2.050098152960916,  19.38346072927158, 739.85971583426, 739.85971583799, -1.498530808706461, -4.775629353749192,  353.6445285617149, 40.199647136483, -0.76335207095547, 47.000602354725, 122.00027259007, -7574324.677941999,  12095794.65621566,  15304742.72467856, -7562854.765967152,  12102969.49021621,  15304742.72467856, 0.054314963719126, 739.85971583799, 0, 20.716750259863808, 739.85971583425999, 0, 0, 0
13, 0.9288707148192495, 0.7778390725048195, -0.8259279855939784, -0.4553175319510042, -2.722951774977335, 0.8221402530127752, 0.9314387754868811, 0.7782400228787784, -0.829199163770031, 0.8743721364, 123683.3384, 27.4155537529, 1039.00948622,  20.93580911917242, -0.3637504377324007,  17.69667114808274,  20.93580911917242, -0.3637504377324007,  17.69667114808274, -865.8039533320954,  -574.389393671948, -1.025324720237462,  19.28327195473574, -2.054034410766699,  19.37908545153372, 739.66588193551, 739.66588193923, -1.488509654681032, -4.767935405372007,  353.6359953571414, 40.207248827388, -0.76022452810375, 47.00060288269, 122.00027250794, -7574333.335987385,  12095788.91221793,  15304742.71442504, -7562854.603831449,  12102969.26935243,  15304742.71442504, 0.054356744460448, 739.66588193923, 0, 20.709868489540096, 739.66588193550706, 0, 0, 0
13.01, 0.9243509286637405, 0.7510240280370006, -0.8177512765025313, -0.4530633769068894, -2.695330758759878, 0.8191826896630251, 0.9269193681715158, 0.7514248177892954, -0.8210221769173789, 0.8739895478, 123656.4995, 27.4094770699, 1039.00539959,  20.92884722164138, -0.3621798039610997,  17.69552522557814,  20.92884722164138, -0.3621798039610997,  17.69552522557814, -865.8035762619885, -574.3825695067554, -1.025452265132325,  19.27849649635421, -2.057924443176765,  19.37482782046101, 739.47209210321, 739.47209210321, -1.478542459038289, -4.760507253030401,  353.6275527665346, 40.214814777033, -0.75710959589391, 47.000603410528, 122.00027242565, -7574341.994028852,  12095783.16828951,  15304742.70417188, -7562854.441696103,  12102969.04856417,  15304742.70417188, 0.054398525201771, 739.47209210321, 0, 20.703040677452286, 739.47209210321307, 0, 0, 0
13.02, 0.9198535997503045, 0.7244775859009822, -0.8096043137436157, -0.450815900920034, -2.668216994707862, 0.8162128993156933, 0.9224224034263419, 0.7248782140435571, -0.8128749479664922, 0.8736106448, 123629.9153, 27.4034569306, 1039.00136023,  20.92194043962004, -0.3606166093804887,  17.69440068642099,  20.92194043962004, -0.3606166093804887,  17.69440068642099, -865.8032083784372,  -574.375816768849, -1.025686709444645,  19.27368830817215, -2.061768698748081,  19.37068663165753, 739.27834516764, 739.27834516764, -1.468628895337448, -4.753342237909943,  353.6192003168441, 40.222343789923, -0.75400728397028, 47.000603938236, 122.0002723432,   -7574350.6520665,  12095777.42442969,    15304742.693918, -7562854.279561218,  12102968.82785071,    15304742.693918, 0.054440305943093, 739.27834516764, 0, 20.696267333942004, 739.27834516763687, 0, 0, 0
13.03, 0.9153786491021567, 0.6981956173335613, -0.8014872133200465, -0.4485758975890105, -2.641547565890682,  0.813231316261182, 0.9179478024281036, 0.6985960828735442, -0.8047575928077448, 0.8732354377, 123603.5868, 27.3974935335, 1038.99736771,  20.91508928797544, -0.3590608468189607,  17.69329724223664,  20.91508928797544, -0.3590608468189607,  17.69329724223664, -865.8028491764848, -574.3691354283358, -1.026026153826223,  19.26884886376914, -2.065567622432264,  19.36666067705593, 739.08463995159, 739.08463995159, -1.458768639884742, -4.746437744706329,  353.6109375373144, 40.229834639513, -0.7509175993851, 47.000604465815, 122.0002722606, -7574359.310100423,  12095771.68063776,   15304742.6836623, -7562854.117426885,  12102968.60721131,   15304742.6836623, 0.054482086684415, 739.08463995159, 0, 20.689548969257341, 739.08463995158672, 0, 0, 0
13.04,  0.910925990856934, 0.6721745417044939, -0.7934000866811415, -0.4463440914941666, -2.615264957798262, 0.8102383878823695, 0.9134954794655641, 0.6725748436444314, -0.7966702227794559, 0.8728639362, 123577.5146, 27.3915870646, 1038.99342159,  20.90829427972279, -0.3575125077978535,  17.69221458827221,  20.90829427972279, -0.3575125077978535,  17.69221458827221, -865.8024981615656, -574.3625254458497, -1.026468710680393,  19.26397962049815, -2.069321655593968,  19.36274874559172, 738.89097530767, 738.89097530767,  -1.44896137175651, -4.739791195910224,  353.6027639593287, 40.237286074788, -0.74784054673047, 47.000604993263, 122.00027217784, -7574367.968130711,    12095765.936913,  15304742.67340374, -7562853.955293198,   12102968.3866453,  15304742.67340374, 0.054523867425738, 738.89097530767, 0, 20.682886091632938, 738.89097530767322, 0, 0, 0
