Time, P (deg/s), Q (deg/s), R (deg/s), P dot (deg/s^2), Q dot (deg/s^2), R dot (deg/s^2), P_{inertial} (deg/s), Q_{inertial} (deg/s), R_{inertial} (deg/s), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{X_{inertial}} (ft/s), V_{Y_{inertial}} (ft/s), V_{Z_{inertial}} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), X_{ECI} (ft), Y_{ECI} (ft), Z_{ECI} (ft), X_{ECEF} (ft), Y_{ECEF} (ft), Z_{ECEF} (ft), Earth Position Angle (deg), Distance AGL (ft), Terrain Elevation (ft), vc-fps, h-sl-ft
16.91, -0.03387614253101725, 0.01740680066618083,  1.053978708038459, 0.05946181331352857, -0.02307818810897113, -0.1203584159036963, -0.0347584553639777, 0.01460145601680313,  1.051010902634354, 0.8610079515, 122818.15, 27.1760171475, 1059.46658067,  20.68056173574648, -0.03509708620725327,  17.63091156154354,  20.68056173574648, -0.03509708620725327,  17.63091156154354, -892.0820317847307, -571.2920272803577, -16.86723687775759, -3.874336962072656,  18.57984581734016,  19.45031491966833, 666.53336940706, 666.53336940706, 0.4020159984571658, -5.255249172538854,  102.2581411767344, 40.448767471174, -0.073995959782047, 47.000441956149, 122.00071085133, -7577870.664279942,   12093565.0013033,  15304649.14362519, -7562943.546856815,  12102905.56653068,  15304649.14362519, 0.070693014317506, 666.53336940706, 0, 20.47936573926745, 666.53336940705776
16.92, -0.03328578345109547, 0.01717877298382482,  1.052784834755404, 0.05914406122842136, -0.02288264294698958, -0.1197122964290551, -0.03416860307117627, 0.01437360798714346,  1.049817010247018, 0.8610054733, 122818.1958, 27.1759003984, 1059.46575651,  20.68045113326181, -0.03529894823571134,  17.63086093675461,  20.68045113326181, -0.03529894823571134,  17.63086093675461, -892.0823351932316, -571.2899543302084, -16.86963342137215, -3.877947830665749,  18.57901736834645,  19.45022356269951, 666.33887178078, 666.33887178078, 0.4007112385101125, -5.255149528861967,  102.2687209292442, 40.448837532239, -0.074421869900068, 47.000441850111, 122.00071159727, -7577879.585098731,  12093559.28837264,  15304648.97496482, -7562943.649141799,  12102905.37959981,  15304648.97496482, 0.070734795058829, 666.33887178078, 0, 20.47931471417515, 666.33887178078294
16.93, -0.03269857610231362, 0.01695272433747237,  1.051597369702942, 0.05882806145677953, -0.0226855515969822, -0.1190696864019606, -0.03358190201115452, 0.0141477385982388,  1.048629526413042, 0.8610030141, 122818.2429, 27.1757839485, 1059.46493246,  20.68034094428868, -0.03549972986763628,  17.63081028796682,  20.68034094428868, -0.03549972986763628,  17.63081028796682,  -892.082636454291, -571.2878850135022, -16.87202691602783, -3.881553537727152,  18.57818901880255,  19.45013285353526, 666.14437507093, 666.14437507093, 0.3994134813609307, -5.255051833200255,  102.2792887053847, 40.448906989791, -0.074845505012861, 47.000441743973, 122.00071234317, -7577888.505920567,  12093553.57546273,  15304648.80628047, -7562943.751434097,  12102905.19269628,  15304648.80628047, 0.070776575800151, 666.14437507093, 0, 20.479264097775665, 666.14437507092953
16.94, -0.03211450320438961, 0.01672866669789211,  1.050416278064005, 0.05851379770390557, -0.02248714664886514, -0.1184305674493996, -0.03299833490587905, 0.01392385982316389,  1.047448416313517, 0.8610005739, 122818.2914, 27.1756678014, 1059.46410854,  20.68023117289888, -0.03569943706651202,  17.63075961594225,  20.68023117289888, -0.03569943706651202,  17.63075961594225, -892.0829355866389,  -571.285819313336,   -16.874417378119, -3.885154112183013,  18.57736077577655,  19.45004278752968, 665.94987927005, 665.94987927005,  0.398122689279619, -5.254956067952377,  102.2898445696128, 40.448975839472, -0.075266877640354, 47.000441637736, 122.00071308904, -7577897.426745425,  12093547.86257354,  15304648.63757217, -7562943.853733687,  12102905.00582004,  15304648.63757217, 0.070818356541473, 665.94987927005, 0, 20.479213894091334, 665.94987927004695
16.95, -0.03153354752510339, 0.01650661330906705,  1.049241525216496, 0.0582012612824907, -0.02228742075054702, -0.1177949204503428, -0.03241788452535494, 0.01370198490819616,  1.046273645324507, 0.8609981531, 122818.3412, 27.1755519606, 1059.46328473,  20.68012182301355, -0.03589807575905368,  17.63070892154078,  20.68012182301355, -0.03589807575905368,  17.63070892154078, -892.0832326089166, -571.2837572127779, -16.87680482383054, -3.888749582796236,  18.57653264622434,  19.44995336008097, 665.75538437068, 665.75538437068,  0.396838824744614, -5.254862215398457,  102.3003885860352, 40.449044077288, -0.075686000225236, 47.000441531401, 122.00071383487, -7577906.347573285,  12093542.14970502,  15304648.46883994, -7562943.956040546,  12102904.81897107,  15304648.46883994, 0.070860137282796, 665.75538437068, 0, 20.479164107009407, 665.75538437068462
16.96, -0.03095569194700852, 0.01628657646594084,  1.048073076722834, 0.05789044166662391, -0.02208643472194331, -0.1171627267288904, -0.03184053375433549, 0.01348212615056196,  1.045105179006604, 0.8609957519, 122818.3925, 27.1754364295, 1059.46246106,  20.68001289840871, -0.0360956518372344,  17.63065820553684,  20.68001289840871, -0.0360956518372344,  17.63065820553684, -892.0835275396523, -571.2816986949051, -16.87918926918602, -3.892339978173768,  18.57570463702431,  19.44986456643685, 665.56089037284, 665.56089037657, 0.3955618504430958, -5.254770257662032,    102.31092081841, 40.449111699308, -0.07610288513756, 47.000441424968, 122.00071458067, -7577915.268404126,  12093536.43685713,  15304648.30008383, -7562944.058354656,  12102904.63214932,  15304648.30008383, 0.070901918024118, 665.56089037657, 0, 20.479114740248264, 665.56089037284255
16.97, -0.03038091945132509, 0.01606856785351739,  1.046910898332027, 0.05758132876942536, -0.02188424949969589, -0.1165339676202414, -0.03126626557621628, 0.01326429523753627,  1.043942983106991, 0.8609933704, 122818.4452, 27.1753212114, 1059.46163753,  20.67990440270852, -0.03629217115829242,  17.63060746869914,  20.67990440270852, -0.03629217115829242,  17.63060746869914, -892.0838203972605, -571.2796437428042, -16.88157073004944, -3.895925326762582,  18.57487675495684,  19.44977640178019, 665.36639726162, 665.36639726162,  0.394291729269344, -5.254680176730719,  102.3214413301491, 40.449178701796, -0.076517544674636, 47.000441318435, 122.00071532644, -7577924.189237927,  12093530.72402985,  15304648.13130386, -7562944.160675994,  12102904.44535477,  15304648.13130386, 0.070943698765441, 665.36639726162, 0, 20.479065797424969, 665.36639726161957
16.98, -0.02980921312056174, 0.01585259855843684,  1.045754955978127, 0.05727391247747115, -0.02168092528768126, -0.1159086245661238, -0.03069506307565754, 0.01304850325801873,  1.042787023557904, 0.860991009, 122818.4992, 27.1752063093, 1059.46081414,  20.67979633939131, -0.03648763954492829,  17.63055671178488,  20.67979633939131, -0.03648763954492829,  17.63055671178488, -892.0841112000401, -571.2775923395723, -16.88394922212774,  -3.89950565685137,  18.57404900670931,  19.44968886122535, 665.17190503702, 665.17190504074, 0.3930284243236811, -5.254591954460874,  102.3319501843194, 40.4492450812, -0.076929991061454, 47.000441211805, 122.00071607218, -7577933.110074666,  12093525.01122314,  15304647.96250006,  -7562944.26300454,  12102904.25858737,  15304647.96250006, 0.070985479506763, 665.17190504074, 0, 20.479017282055274, 665.17190503701568
16.99, -0.02924055614336364, 0.01563867907940889,  1.044605216004728, 0.05696818276563021, -0.0214765215747964, -0.1152866790950547, -0.03012690944362366, 0.01283476071236233,  1.041637266700485, 0.8609886677, 122818.5548, 27.1750917263, 1059.45999091,  20.67968871179017, -0.03668206278554465,   17.6305059355414,  20.67968871179017, -0.03668206278554465,   17.6305059355414, -892.0843999661734, -571.2755444683174, -16.88632476097276, -3.903080997412556,   18.5732214028798,  19.44960194401618, 664.97741368786, 664.97741368786, 0.3917718991614999, -5.254505573887207,  102.3424474386514, 40.449310834149, -0.077340236451194, 47.000441105077, 122.00071681788, -7577942.030914324,  12093519.29843696,  15304647.79367246,  -7562944.36534027,  12102904.07184709,  15304647.79367246, 0.071027260248085, 664.97741368786, 0, 20.478969197350938, 664.97741368785501
17, -0.02867493175102564, 0.01542681932003396,  1.043461644260106, 0.0566641321687849, -0.02127109718284185, -0.1146681129757322, -0.02956178791313249, 0.01262307750761343,  1.040493678382488, 0.8609863471, 122818.6118, 27.1749774711, 1059.45916783,  20.67958152755426, -0.0368754466422061,  17.63045514450775,  20.67958152755426, -0.0368754466422061,  17.63045514450775,  -892.084686713713, -571.2735001121795, -16.88869736200877, -3.906651375580949,  18.57239394596031,  19.44951564094475, 664.78292321414, 664.78292321414, 0.3905221167904023, -5.254421014014414,  102.3529331655203, 40.449375957453, -0.077748292925248, 47.00044099825, 122.00071756355, -7577950.951756881,  12093513.58567128,  15304647.62482109,  -7562944.46768317,   12102903.8851339,  15304647.62482109, 0.071069040989408, 664.78292321414, 0, 20.478921550914635, 664.78292321413755
17.01, -0.02811232343790884, 0.01521702809358191,  1.042324207455496, 0.05636174197457008, -0.02106474510202026, -0.1140529077446815, -0.0289996819808182, 0.01241346245866215,  1.039356225312708, 0.8609840466, 122818.6702, 27.1748635348, 1059.45834492,  20.67947478081542, -0.03706779682014982,  17.63040433184146,  20.67947478081542, -0.03706779682014982,  17.63040433184146, -892.0849714606309, -571.2714592542502, -16.89106704043301, -3.910216818326746,  18.57156663834952,  19.44942994277727, 664.58843360469, 664.58843360469, 0.3892790411733024, -5.254338257644821,  102.3634074219697, 40.449440448149, -0.078154172495847, 47.000440891326, 122.00071830919, -7577959.872602314,  12093507.87292605,  15304647.45594598, -7562944.570033214,  12102903.69844776,  15304647.45594598, 0.07111082173073, 664.58843360469, 0, 20.47887433693991, 664.58843360468745
17.02, -0.02755271457897564, 0.01500931593245798,  1.041192872261253, 0.05606101342473439, -0.02085738148118179, -0.1134410448971169, -0.02844057502370369, 0.01220592610012758,   1.03822487415971, 0.8609817669, 122818.7301, 27.1747499259, 1059.45752217,  20.67936847893395, -0.03725911901133117,  17.63035350199262,  20.67936847893395, -0.03725911901133117,  17.63035350199262, -892.0852542247666,  -571.269421877655, -16.89343381131771, -3.913777354155309,   18.5707394903563,  19.44934484850858, 664.39394485578, 664.39394485578, 0.3880426362213902, -5.254257286177644,  102.3738702697074, 40.449504303299, -0.078557887097826, 47.000440784304, 122.00071905479, -7577968.793450604,  12093502.16020126,  15304647.28704716, -7562944.672390384,  12102903.51178863,  15304647.28704716, 0.071152602472052, 664.39394485578, 0, 20.478827562759221, 664.39394485577941
17.03, -0.02699608879688691, 0.01480368938942009,   1.04006760551848, 0.05576193048918458, -0.02064924368586791, -0.112832506887856, -0.02788445066648682, 0.01200047498697002,  1.037099591762813, 0.860979508, 122818.7915, 27.1746366469, 1059.4566996,  20.67926262467703, -0.03744941887038422,  17.63030265563065,  20.67926262467703, -0.03744941887038422,  17.63030265563065, -892.0855350238019,  -571.267387965593, -16.89579768966384,  -3.91733301057189,  18.56991250820147,  19.44926035290476, 664.19945695996, 664.19945695996, 0.3868128660482601, -5.254178080881412,  102.3843217701044, 40.449567520183, -0.078959448604465, 47.000440677184, 122.00071980036, -7577977.714301732,  12093496.44749685,  15304647.11812466,  -7562944.77475466,  12102903.32515648,  15304647.11812466, 0.071194383213375, 664.19945695996, 0, 20.478781231077686, 664.19945695996284
17.04, -0.02644242975459778, 0.01460015646614961,  1.038948374255471, 0.05546448508365288, -0.02044031424174948, -0.1122272753901997, -0.02733129257413995, 0.01179711712306209,  1.035980345148531, 0.8609772701, 122818.8544, 27.1745237002, 1059.45587722,  20.67915722067435, -0.03763870201662201,  17.63025179352923,  20.67915722067435, -0.03763870201662201,  17.63025179352923,  -892.085813875322, -571.2653575012381, -16.89815869027746, -3.920883814923316,  18.56908569798769,  19.44917645080231, 664.00496990979, 664.00496990979, 0.3855896949654005, -5.254100622962416,  102.3947619841971, 40.449630096432, -0.079358868814884, 47.000440569967, 122.00072054589, -7577986.635155679,   12093490.7348128,   15304646.9491785, -7562944.877126022,  12102903.13855128,   15304646.9491785, 0.071236163954697, 664.00496990979, 0, 20.478735344532879, 664.00496990978718
17.05, -0.02589172122557421, 0.01439872425187319,  1.037835145676846, 0.05516866716822522, -0.02023064815571639, -0.1116253325391342, -0.02678108452212446, 0.01159585959981044,  1.034867101519713, 0.8609750534, 122818.9188, 27.1744110882, 1059.45505502,  20.67905226942397, -0.03782697403630309,  17.63020091637203,  20.67905226942397, -0.03782697403630309,  17.63020091637203,   -892.08609079679, -571.2633304677788,  -16.9005168278207, -3.924429794405683,  18.56825906573662,  19.44909313690152, 663.81048370525, 663.81048370525, 0.3843730874825548,  -5.25402489352328,  102.4051909726903, 40.449692029718, -0.079756159459183, 47.000440462652, 122.0007212914, -7577995.556012423,  12093485.02214908,  15304646.78020871, -7562944.979504451,  12102902.95197299,  15304646.78020871, 0.07127794469602, 663.81048370525, 0, 20.478689905627256, 663.81048370525241
17.06, -0.02534394707680967, 0.01419939928456402,  1.036727887165823, 0.05487446716031651, -0.02002030051427433, -0.1110266604728118, -0.02623381037940854, 0.01139670895735716,  1.033759828257813, 0.860972858, 122818.9847, 27.1742988132, 1059.45423301,  20.67894777328453, -0.03801424048286783,  17.63015002483772,  20.67894777328453, -0.03801424048286783,  17.63015002483772, -892.0863658055467, -571.2613068484186,  -16.9028721168134, -3.927970976059622,  18.56743261736689,  19.44901040585735, 663.61599833518, 663.61599833518, 0.3831630083061053,  -5.25395087358392,  102.4156087959582, 40.449753317892, -0.0801513321988, 47.000440355241, 122.00072203687, -7578004.476871946,  12093479.30950564,  15304646.61121534, -7562945.081889928,  12102902.76542157,  15304646.61121534, 0.071319725437342, 663.61599833518, 0, 20.478644916593055, 663.61599833518267
17.07, -0.02479909127103505, 0.0140021875625527,   1.03562656628273, 0.05458187548438696, -0.01980932565645201,  -0.11043124142948, -0.02568945411067748, 0.0111996711961907,    1.0326584929214, 0.860970684, 122819.0522, 27.1741868773, 1059.4534112,  20.67884373448233, -0.03820050687671994,  17.63009911959336,  20.67884373448233, -0.03820050687671994,  17.63009911959336, -892.0866389188092, -571.2592866263773, -16.90522457163551, -3.931507386772698,   18.5666063587003,  19.44892825227481, 663.42151379213, 663.42151379213, 0.3819594223380922, -5.253878544085521,  102.4260155140465, 40.44981395897, -0.080544398626063, 47.000440247732, 122.0007227823, -7578013.397734229,  12093473.59688245,  15304646.44219839, -7562945.184282431,    12102902.578897,  15304646.44219839, 0.071361506178664, 663.42151379213, 0, 20.478600379763829, 663.42151379212737
