Time, P (deg/s), Q (deg/s), R (deg/s), P dot (deg/s^2), Q dot (deg/s^2), R dot (deg/s^2), P_{inertial} (deg/s), Q_{inertial} (deg/s), R_{inertial} (deg/s), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{X_{inertial}} (ft/s), V_{Y_{inertial}} (ft/s), V_{Z_{inertial}} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), X_{ECI} (ft), Y_{ECI} (ft), Z_{ECI} (ft), X_{ECEF} (ft), Y_{ECEF} (ft), Z_{ECEF} (ft), Earth Position Angle (deg), Distance AGL (ft), Terrain Elevation (ft), vc-fps, h-sl-ft, elevator-cmd-norm, aileron-cmd-norm, rudder-cmd-norm
30.17, 0.0766535626868677, 0.004883845364198493, 0.8284811490857449, -8.531660343555819e-005, -1.763217649469316e-005, -0.0001813021938402997, 0.07736399534143322, 0.002207181844741232, 0.8253527211574705, 0.8609064546, 123089.5823, 27.0774810855, 1058.50710463,  20.60439272641635, -0.07274062050723718,  17.56825805569845,  20.60439272641635, -0.07274062050723718,  17.56825805569845, -886.5783552480513, -578.2074582230374, -9.604468124289706,  6.740558331598892,   17.6268098875486,  19.41778639653456, 423.04686750472, 423.04686750472, 0.1595436606316538, -5.365746997846995,  69.44233012857254, 40.452444107692, -0.15391888019243, 47.000867411531, 122.00169545766, -7589619.753017155,  12085864.75027184,  15304577.04105485, -7563003.303500061,  12102538.40268639,  15304577.04105485, 0.12609427731101, 423.04686750472, 0, 20.476973729434544, 423.04686750471592, 0, 0, 0
30.18, 0.07665309590893812, 0.004883813148894695, 0.8284792955829798, -8.518282897366859e-005, -1.766187435940977e-005, -0.0001815731683406422, 0.07736314418195257, 0.002207005077219713, 0.8253509040708962, 0.8609064667, 123089.8055, 27.077404177, 1058.508012,  20.60433420191827, -0.07274032865421987,  17.56820815856576,  20.60433420191827, -0.07274032865421987,  17.56820815856576, -886.5797364461166,  -578.206973040639,  -9.60618084696997,  6.737978638232974,  17.62774827922388,  19.41772261307866, 422.85269522667, 422.85269522667, 0.1595320419567558, -5.365720711728125,  69.45065201560215, 40.452444113425, -0.15391869980932, 47.000867596107, 122.00169616532,   -7589628.6187938,  12085858.96819484,  15304576.94501873,   -7563003.3566722,  12102538.15516706,  15304576.94501873, 0.12613605805233, 422.85269522667, 0, 20.476973865700582, 422.85269522666931, 0, 0, 0
30.19, 0.07665263047762619, 0.004883780584390285, 0.8284774393910869, -8.504980166546473e-005, -1.76912835621468e-005, -0.0001818426761131429, 0.07736229434900967, 0.002206828017050984, 0.8253490842965779, 0.8609064788, 123090.0287, 27.077327269, 1058.50891899,  20.60427567779125, -0.07274003726295497,  17.56815826181381,  20.60427567779125, -0.07274003726295497,  17.56815826181381, -886.5811173730504, -578.2064875836762, -9.607893653888288,  6.735398821290159,  17.62868629159252,  19.41765882961429, 422.65852358565, 422.65852358565, 0.1595204241980275,  -5.36569442420277,  69.45897388366447, 40.452444119262, -0.15391852039924, 47.000867780613, 122.00169687301, -7589637.484584258,  12085853.18612268,  15304576.84896548, -7563003.409862524,  12102537.90765912,  15304576.84896548, 0.12617783879365, 422.65852358565, 0, 20.476974001966617, 422.65852358564734, 0, 0, 0
30.2, 0.0766521663860764, 0.004883747673490883, 0.8284755805246932, -8.491747982724569e-005, -1.772040935667281e-005, -0.0001821107198160464, 0.07736144583575839, 0.002206650667042929,  0.825347261849143, 0.8609064909, 123090.2519, 27.0772503615, 1058.50982562,  20.60421715403582, -0.07273974633085611,  17.56810836544247,  20.60421715403582, -0.07273974633085611,  17.56810836544247, -886.5824980288103, -578.2060018521796, -9.609606545000254,   6.73281888083671,  17.62962392463482,  19.41759504614247, 422.46435258165, 422.46435258165, 0.1595088073716201, -5.365668135274448,  69.46729573273254, 40.452444125202, -0.15391834195672, 47.000867965047, 122.00169758074, -7589646.350388527,  12085847.40405538,  15304576.75289511, -7563003.463071032,  12102537.66016258,  15304576.75289511, 0.12621961953497, 422.46435258165, 0, 20.476974138131315, 422.46435258165002, 0, 0, 0
30.21, 0.07665170362687626, 0.004883714418871948, 0.8284737189982603, -8.478588668114438e-005, -1.774926216000313e-005, -0.000182377311418941, 0.07736059863479554, 0.002206473029873277, 0.8253454367430523, 0.860906503, 123090.4751, 27.0771734546, 1058.51073187,   20.6041586306525, -0.0727394558555039,  17.56805846945174,   20.6041586306525, -0.0727394558555039,  17.56805846945174, -886.5838784133543, -578.2055158461798, -9.611319520261493,  6.730238816938976,  17.63056117833104,  19.41753126266443, 422.2701822184, 422.27018222213, 0.1594971914935876, -5.365641844946691,  69.47561756277958, 40.452444131244, -0.15391816447666, 47.000868149412, 122.0016982885, -7589655.216206604,  12085841.62199293,  15304576.65680761, -7563003.516297718,  12102537.41267744,  15304576.65680761, 0.1262614002763, 422.27018222213, 0, 20.476974274228454, 422.27018221840262, 0, 0, 0
30.22, 0.07665124219301171, 0.004883680823495845, 0.8284718548262215, -8.465500342680395e-005, -1.777782633321238e-005, -0.0001826424567646633, 0.07735975273911638, 0.002206295108506652, 0.8253436089927394, 0.8609065151, 123090.6983, 27.0770965482, 1058.51163775,  20.60410010764194, -0.07273916583451623,  17.56800857384168,  20.60410010764194, -0.07273916583451623,  17.56800857384168, -886.5852585266407, -578.2050295657072, -9.613032579627639,  6.727658629663308,  17.63149805266157,  19.41746747918137, 422.07601248845, 422.07601248845, 0.1594855765798833, -5.365615553223009,  69.48393937377882, 40.452444137387, -0.15391798795401, 47.000868333705, 122.0016989963, -7589664.082038485,  12085835.83993534,  15304576.56070298, -7563003.569542581,   12102537.1652037,  15304576.56070298, 0.12630318101762, 422.07601248845, 0, 20.476974410224248, 422.07601248845458, 0, 0, 0
30.23, 0.07665078207743094, 0.004883646890269715, 0.8284699880229256, -8.452482629546302e-005, -1.780610033469404e-005, -0.0001829061634769956, 0.07735890814167847, 0.002206116905852466, 0.8253417786125525, 0.8609065272, 123090.9215, 27.0770196424, 1058.51254325,  20.60404158500496, -0.07273887626532716,  17.56795867861221,  20.60404158500496, -0.07273887626532716,  17.56795867861221, -886.5866383686273, -578.2045430107922, -9.614745723054371,  6.725078319075908,  17.63243454760714,  19.41740369569444, 421.88184339926, 421.88184339926, 0.1594739626464112, -5.365589260106841,  69.49226116570385, 40.45244414363, -0.15391781238336, 47.000868517928, 122.00169970415,  -7589672.94788417,  12085830.05788261,  15304576.46458122,  -7563003.62280562,  12102536.91774137,  15304576.46458122, 0.12634496175894, 421.88184339926, 0, 20.476974546220045, 421.88184339925647, 0, 0, 0
30.24, 0.07665032327289167, 0.00488361262199729, 0.8284681186026051, -8.439536672477709e-005, -1.783409053427414e-005, -0.0001831684418056548, 0.07735806483524879, 0.002205938424716715,  0.825339945616724, 0.8609065393, 123091.1446, 27.0769427371, 1058.51344839,   20.6039830627419, -0.07273858714553061,  17.56790878376326,   20.6039830627419, -0.07273858714553061,  17.56790878376326, -886.5880179392723, -578.2040561814656, -9.616458950497378,  6.722497885242878,  17.63337066314795,   19.4173399122047, 421.68767494708, 421.68767494708, 0.1594623497089586, -5.365562965601662,  69.50058293852814, 40.452444149972, -0.15391763775962, 47.000868702081, 122.00170041202, -7589681.813743655,  12085824.27583475,  15304576.36844233, -7563003.676086829,  12102536.67029044,  15304576.36844233, 0.12638674250026, 421.68767494708, 0, 20.476974682114506, 421.687674947083, 0, 0, 0
30.25, 0.07664986577229527, 0.004883578022000228, 0.8284662465794472, -8.426661899418105e-005, -1.786176455129368e-005, -0.0001834292982079475, 0.07735722281273803, 0.002205759668423327,  0.825338110019441, 0.8609065514, 123091.3678, 27.0768658323, 1058.51435315,  20.60392454085346, -0.07273829847288837,  17.56785888929497,  20.60392454085346, -0.07273829847288837,  17.56785888929497, -886.5893972385338, -578.2035690777577, -9.618172261912378,  6.719917328230548,  17.63430639926458,  19.41727612871345, 421.49350713193, 421.49350712821, 0.1594507377832295, -5.365536669710864,  69.50890469222553, 40.452444156413, -0.15391746407806, 47.000868886162, 122.00170111994, -7589690.679616937,  12085818.49379176,   15304576.2722863, -7563003.729386207,  12102536.42285093,   15304576.2722863, 0.12642852324159, 421.49350712821, 0, 20.476974817941404, 421.49350713193417, 0, 0, 0
30.26, 0.07664940956901507, 0.004883543092827072, 0.8284643719676021, -8.413854967100895e-005, -1.788916309653377e-005, -0.0001836887373207325, 0.07735638206752886, 0.002205580639523105, 0.8253362718348534, 0.8609065635, 123091.591, 27.076788928, 1058.51525754,  20.60386601934031, -0.0727380102448576,  17.56780899520721,  20.60386601934031, -0.0727380102448576,  17.56780899520721, -886.5907762663701, -578.2030816996991, -9.619885657255127,  6.717336648104895,  17.63524175593772,  19.41721234522173, 421.29933995754, 421.29933995754, 0.1594391268848485, -5.365510372437836,  69.51722642676991, 40.452444162951, -0.1539172913333, 47.000869070174, 122.00170182789, -7589699.545504012,  12085812.71175363,  15304576.17611315, -7563003.782703752,  12102536.17542283,  15304576.17611315, 0.12647030398291, 421.29933995754, 0, 20.476974953700743, 421.29933995753527, 0, 0, 0
