Time, P (deg/s), Q (deg/s), R (deg/s), P dot (deg/s^2), Q dot (deg/s^2), R dot (deg/s^2), P_{inertial} (deg/s), Q_{inertial} (deg/s), R_{inertial} (deg/s), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{X_{inertial}} (ft/s), V_{Y_{inertial}} (ft/s), V_{Z_{inertial}} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), X_{ECI} (ft), Y_{ECI} (ft), Z_{ECI} (ft), X_{ECEF} (ft), Y_{ECEF} (ft), Z_{ECEF} (ft), Earth Position Angle (deg), Distance AGL (ft), Terrain Elevation (ft), vc-fps, h-sl-ft
26.08, 0.0771590722154436, 0.004872202032635191, 0.8283612562618672, -0.0002609686647433395, 5.507330148090474e-005, 0.0002874741555308103, 0.07447709961095977, 0.006357792470886399, 0.8255228856984245, 0.8609742179, 123026.9983, 27.1019471141, 1031.16331628,  20.62300987776455, -0.07295573310828196,  17.58413143773712,  20.62300987776455, -0.07295573310828196,  17.58413143773712, -872.4610375586667, -549.0664669828128, -25.20987146399827, -16.20378463039969, -9.856149838011355,  19.35998996637181, 481.94125157967, 481.9412515834, 0.4464970783532216, -5.140176492036623,  211.9449358562111, 40.452443364274, -0.15423469867837, 46.99949919358, 121.99925803596, -7585716.191137245,  12088794.09425365,  15304279.31125559,  -7562703.39101424,  12103204.12970406,  15304279.31125559, 0.10900595411015, 481.9412515834, 0, 20.477781392711645, 481.9412515796721
26.09, 0.07715626642455066, 0.004872401386509319, 0.8283641110514836, -0.0002595608982156568, 5.494898883553489e-005, 0.0002846581056943618, 0.07447451104059041, 0.00635834133622909, 0.8255257181993096, 0.8609742407, 123027.2216, 27.1018705039, 1031.16097658,  20.62295160085468, -0.07295464157855491,  17.58408171321249,  20.62295160085468, -0.07295464157855491,  17.58408171321249, -872.4581227008468, -549.0667525496879, -25.20882760062761, -16.20230742195975, -9.858465116455431,  19.35994020286734, 481.74765705317, 481.74765705317, 0.4465234989631347,  -5.14019180549622,   211.953252769331, 40.45244330807, -0.15423282706281, 46.999498749886, 121.99925764032, -7585724.915762195,  12088788.60359041,  15304279.05915166, -7562703.300275794,  12103204.17046289,  15304279.05915166, 0.10904773485147, 481.74765705317, 0, 20.477781677426847, 481.74765705317259
26.1, 0.07715347454604776, 0.004872599504984339, 0.8283669379114239, -0.0002581607243097053, 5.482325742367009e-005, 0.0002818571847698474, 0.07447193643399439, 0.006358888937179862,   0.82552852276663, 0.8609742636, 123027.4449, 27.101793894, 1031.15863707,  20.62289332412389, -0.07295355480975196,  17.58403198903914,  20.62289332412389, -0.07295355480975196,  17.58403198903914, -872.4552078880378, -549.0670384323812, -25.20778350687386, -16.20082987457963, -9.860780186077276,  19.35989044045863, 481.55406303331, 481.55406303331, 0.4465498867971373,  -5.14020712100893,  211.9615697111124, 40.452443252184, -0.1542309654996, 46.999498306233, 121.99925724458, -7585733.640357996,  12088783.11292431,  15304278.80705816, -7562703.209512168,  12103204.21122511,  15304278.80705816, 0.10908951559279, 481.55406303331, 0, 20.477781961939375, 481.55406303331256
26.11, 0.07715069650562073, 0.00487279637463667, 0.8283697369918746, -0.0002567680363428475, 5.46961563497839e-005, 0.0002790713190966914, 0.07446937571684588, 0.006359435260287556, 0.8255312995505696, 0.8609742864, 123027.6681, 27.1017172844, 1031.15629778,  20.62283504756806, -0.0729524727760289,  17.58398226521699,  20.62283504756806, -0.0729524727760289,  17.58398226521699, -872.4522931204015, -549.0673246309229, -25.20673918279494, -16.19935198834315, -9.863095046723077,  19.35984067914668, 481.36046950519, 481.36046950147, 0.4465762420187437, -5.140222438580291,  211.9698866812756, 40.452443196624, -0.15422911393422, 46.99949786262, 121.99925684876,  -7585742.36492465,  12088777.62225535,  15304278.55497511,  -7562703.11872336,  12103204.25199073,  15304278.55497511, 0.10913129633411, 481.36046950147, 0, 20.477782246283009, 481.36046950519085
26.12, 0.0771479322280831, 0.004872991982572981, 0.8283725084420784, -0.0002553828569023961, 5.456773734024964e-005, 0.000276300421216402, 0.07446682881394671, 0.006359980292631362, 0.8255340487003692, 0.8609743093, 123027.8914, 27.1016406753, 1031.15395869,  20.62277677118351, -0.07295139545198559,   17.5839325417454,  20.62277677118351, -0.07295139545198559,   17.5839325417454, -872.4493783980993,  -549.067611145343, -25.20569462844871, -16.19787376333435, -9.865409698239564,  19.35979091893201, 481.16687647998, 481.16687647998, 0.4466025647905573, -5.140237758216059,  211.9782036795425, 40.452443141392, -0.15422727231307, 46.999497419048, 121.99925645284, -7585751.089462155,  12088772.13158354,  15304278.30290249, -7562703.027909371,  12103204.29275973,  15304278.30290249, 0.10917307707543, 481.16687647998, 0, 20.477782530356414, 481.16687647998333
26.13, 0.07714518163972875, 0.004873186315256036, 0.8283752524105985, -0.0002540050948146715, 5.443797471245723e-005, 0.0002735444166432828, 0.07446429565157915, 0.00636052402064669, 0.8255367703645893, 0.8609743321, 123028.1146, 27.1015640665, 1031.1516198,  20.62271849496658, -0.07295032281221836,  17.58388281862391,  20.62271849496658, -0.07295032281221836,  17.58388281862391, -872.4464637212919, -549.0678979756713, -25.20464984389291, -16.19639519963695, -9.867724140474152,   19.3597411598154, 480.97328394651, 480.97328394651, 0.4466288552743142, -5.140253079922082,  211.9865207056363, 40.452443086492, -0.15422544058254, 46.999496975516, 121.99925605682, -7585759.813970512,  12088766.64090886,  15304278.05084032, -7562702.937070202,  12103204.33353212,  15304278.05084032, 0.10921485781676, 480.97328394651, 0, 20.477782814227147, 480.97328394651413
26.14, 0.07714244466656772, 0.00487337936094203,  0.828377969045127, -0.0002526347386418564, 5.430697949389357e-005, 0.0002708032225364524, 0.07446177615574162, 0.006361066432562481, 0.8255394646909203, 0.8609743549, 123028.3379, 27.1014874581, 1031.14928112,  20.62266021891361, -0.07294925483151005,  17.58383309585215,  20.62266021891361, -0.07294925483151005,  17.58383309585215, -872.4435490901395, -549.0681851219374, -25.20360482918516, -16.19491629733433, -9.870038373274706,  19.35969140179776, 480.77969191223, 480.77969191223,  0.446655113630895, -5.140268403704432,  211.9948377592817, 40.452443031931, -0.15422361868943, 46.999496532024, 121.99925566072, -7585768.538449722,  12088761.15023132,   15304277.7987886, -7562702.846205855,  12103204.37430788,   15304277.7987886, 0.10925663855808, 480.77969191223, 0, 20.477783097827654, 480.77969191223383
26.15, 0.07713972123546731, 0.004873571106991341,  0.828380658492609, -0.0002512717273793539, 5.417472895957763e-005, 0.0002680767614311781, 0.07445927025328981, 0.006361607515711977, 0.8255421318263051, 0.8609743778, 123028.5611, 27.10141085, 1031.14694265,   20.6226019430211, -0.07294819148459908,  17.58378337342973,   20.6226019430211, -0.07294819148459908,  17.58378337342973, -872.4406345048017, -549.0684725841711, -25.20255958438296, -16.19343705650965, -9.872352396489912,  19.35964164488002, 480.58610037714, 480.58610037714, 0.4466813400202705, -5.140283729569287,   212.003154840205, 40.452442977711, -0.15422180658042, 46.999496088573, 121.99925526452, -7585777.262899786,   12088755.6595509,  15304277.54674733, -7562702.755316327,  12103204.41508703,  15304277.54674733, 0.1092984192994, 480.58610037714, 0, 20.477783381225485, 480.58610037714243
26.16, 0.07713701127307066, 0.00487376154224477, 0.8283833208991361, -0.0002499160556715987, 5.404131424141425e-005, 0.0002653649506344394, 0.07445677787085535, 0.006362147258908941, 0.8255447719168331, 0.8609744006, 123028.7844, 27.1013342423, 1031.14460438,  20.62254366728564, -0.07294713274679943,    17.583733651356,  20.62254366728564, -0.07294713274679943,    17.583733651356, -872.4377199654372, -549.0687603624018,  -25.2015141095437, -16.19195747724608, -9.874666209968657,  19.35959188906298, 480.39250933751, 480.39250933751, 0.4467075346015928, -5.140299057523029,   212.011471948134, 40.452442923836, -0.15422000420344, 46.999495645163, 121.99925486823, -7585785.987320704,  12088750.16886761,  15304277.29471651, -7562702.664401623,  12103204.45586955,  15304277.29471651, 0.10934020004072, 480.39250933751, 0, 20.477783664420649, 480.39250933751464
26.17, 0.0771343147073975, 0.004873950655166404, 0.8283859564101401, -0.0002485676299300721, 5.390674063033378e-005, 0.0002626677185767583, 0.07445429893644635, 0.006362685650590545,  0.825547385107934, 0.8609744233, 123029.0076, 27.101257635, 1031.14226631,  20.62248539170376, -0.07294607859299873,  17.58368392963081,  20.62248539170376, -0.07294607859299873,  17.58368392963081, -872.4348054722044,  -549.069048456659, -25.20046840472467, -16.19047755962608, -9.876979813560768,  19.35954213434793, 480.19891879708, 480.19891879708, 0.4467336975331132, -5.140314387572145,  212.0197890827978, 40.452442870311, -0.15421821150548, 46.999495201793, 121.99925447184, -7585794.711712477,  12088744.67818145,  15304277.04269614, -7562702.573461738,  12103204.49665544,  15304277.04269614, 0.10938198078205, 480.19891879708, 0, 20.477783947345582, 480.19891879707575
