3.52,219.25
3.53,219.16
3.54,219.07
3.55,218.98
3.56,218.89
3.57,218.8
3.58,218.7
3.59,218.61
3.6,218.52
3.61,218.43
3.62,218.34
3.63,218.25
3.64,218.15
3.65,218.06
3.66,217.97
3.67,217.88
3.68,217.78
3.69,217.69
3.7,217.6
3.71,217.5
3.72,217.41
3.73,217.32
3.74,217.22
3.75,217.13
3.76,217.03
3.77,216.94
3.78,216.85
3.79,216.75
3.8,216.66
3.81,216.56
3.82,216.47
3.83,216.37
3.84,216.28
3.85,216.18
3.86,216.09
3.87,215.99
3.88,215.89
3.89,215.8
3.9,215.7
3.91,215.61
3.92,215.51
3.93,215.41
3.94,215.32
3.95,215.22
3.96,215.12
3.97,215.03
3.98,214.93
3.99,214.83
4,214.73
4.01,214.64
4.02,214.54
4.03,214.44
4.04,214.34
4.05,214.25
4.06,214.15
4.07,214.05
4.08,213.95
4.09,213.85
4.1,213.75
4.11,213.66
4.12,213.56
4.13,213.46
4.14,213.36
4.15,213.26
4.16,213.16
4.17,213.06
4.18,212.96
4.19,212.86
4.2,212.76
4.21,212.66
4.22,212.57
4.23,212.47
4.24,212.37
4.25,212.27
4.26,212.17
4.27,212.07
4.28,211.97
4.29,211.86
4.3,211.76
4.31,211.66
4.32,211.56
4.33,211.46
4.34,211.36
4.35,211.26
4.36,211.16
4.37,211.06
4.38,210.96
4.39,210.86
4.4,210.76
4.41,210.66
4.42,210.55
4.43,210.45
4.44,210.35
4.45,210.25
4.46,210.15
4.47,210.05
4.48,209.95
4.49,209.84
4.5,209.74
4.51,209.64
4.52,209.54
4.53,209.44
4.54,209.33
4.55,209.23
4.56,209.13
4.57,209.03
4.58,208.93
4.59,208.82
4.6,208.72
4.61,208.62
4.62,208.52
4.63,208.41
4.64,208.31
4.65,208.21
4.66,208.11
4.67,208
4.68,207.9
4.69,207.8
4.7,207.7
4.71,207.59
4.72,207.49
4.73,207.39
4.74,207.29
4.75,207.18
4.76,207.08
4.77,206.98
4.78,206.88
4.79,206.77
4.8,206.67
4.81,206.57
4.82,206.46
4.83,206.36
4.84,206.26
4.85,206.16
4.86,206.05
4.87,205.95
4.88,205.85
4.89,205.74
4.9,205.64
4.91,205.54
4.92,205.44
4.93,205.33
4.94,205.23
4.95,205.13
4.96,205.02
4.97,204.92
4.98,204.82
4.99,204.71
5,204.61
5.01,204.51
5.02,204.41
5.03,204.3
5.04,204.2
5.05,204.1
5.06,203.99
5.07,203.89
5.08,203.79
5.09,203.69
5.1,203.58
5.11,203.48
5.12,203.38
5.13,203.28
5.14,203.17
5.15,203.07
5.16,202.97
5.17,202.86
5.18,202.76
5.19,202.66
5.2,202.56
5.21,202.45
5.22,202.35
5.23,202.25
5.24,202.15
5.25,202.04
5.26,201.94
5.27,201.84
5.28,201.74
5.29,201.64
5.3,201.53
5.31,201.43
5.32,201.33
5.33,201.23
5.34,201.13
5.35,201.02
5.36,200.92
5.37,200.82
5.38,200.72
5.39,200.62
5.4,200.51
5.41,200.41
5.42,200.31
5.43,200.21
5.44,200.11
