Time, Aileron Command (norm), Elevator Command (norm), Rudder Command (norm), Flap Command (norm), Left Aileron Position (deg), Right Aileron Position (deg), Elevator Position (deg), Rudder Position (deg), Flap Position (deg), P (deg/s), Q (deg/s), R (deg/s), P dot (deg/s^2), Q dot (deg/s^2), R dot (deg/s^2), P_{inertial} (deg/s), Q_{inertial} (deg/s), R_{inertial} (deg/s), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{X_{inertial}} (ft/s), V_{Y_{inertial}} (ft/s), V_{Z_{inertial}} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), Rho (slugs/ft^3), Absolute Viscosity, Kinematic Viscosity, Temperature (R), P_{SL} (psf), P_{Ambient} (psf), Turbulence Magnitude (ft/sec), Turbulence X Direction (rad), Turbulence Y Direction (rad), Turbulence Z Direction (rad), Wind V_{North} (ft/s), Wind V_{East} (ft/s), Wind V_{Down} (ft/s), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), X_{ECI} (ft), Y_{ECI} (ft), Z_{ECI} (ft), X_{ECEF} (ft), Y_{ECEF} (ft), Z_{ECEF} (ft), Earth Position Angle (deg), Distance AGL (ft), Terrain Elevation (ft), Pitch Trim Sum, Elevator Control, elevator normalization, Roll Trim Sum, Left Aileron Control, left aileron normalization, Right Aileron Control, right aileron normalization, Rudder Command Sum, Rudder Control, rudder normalization, electric_1mw HP (engine 0), Fixed-Pitch 16-inch Two-Blade Propeller Torque (engine 0), Fixed-Pitch 16-inch Two-Blade Propeller PFactor Pitch (engine 0), Fixed-Pitch 16-inch Two-Blade Propeller PFactor Yaw (engine 0), Fixed-Pitch 16-inch Two-Blade Propeller Thrust (engine 0 in lbs), Fixed-Pitch 16-inch Two-Blade Propeller RPM (engine 0), throttle-cmd-norm
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.544816858499488,   21.0413133315799, 0.3387121758032765, -84.82646587176438,  1111.534865732455,  11.29108114626874, -2.542036269180012,   21.0413133315799, 0.3355937424640922, 5.118390162, 470375.4858, 67.5761650476, 1017.85691788,  67.57616504758474, 1.315465797064464e-014, 2.131628207280301e-014,  67.57616504758474, 1.315465797064464e-014, 2.131628207280301e-014,  790.9598495462971,  639.1010308630107,  44.32938111960991,  67.57616504762075, 7.440591478788785e-012, 3.571427655989329e-011, 0.002241693847, 3.697149821e-007, 0.0001649266168, 511.53768, 2116.22, 1967.755853, 0,                  0,                  0,                  0,                  0,                  0,                  0, 2000.0000099018, 2000.0000099018, -2.009414081523316e-012, -3.026456807146598e-011, 6.302315852596279e-012, 1.8073428653756e-014, 1.1153435270044e-014, 48.277816600174, -53.917520329994,  8202758.382991296, -11255983.39374559,  15619991.26993687,  8202741.966997503,  -11255995.3568251,  15619991.26993687, 8.3561482644808e-005, 2000.0000099018, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.43222, -0, -0, -0, 0, 0
0.02, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.268407880275642,  37.86453883675544, 0.4148794183986781, -19.13703262268847,  931.2902936758504,  5.455161062181191, -2.265593103916701,  37.86454247528229, 0.4117918102200443, 5.079786248, 468598.2958, 67.3208463102, 1017.84050157,  67.31787642909703, 0.000147451122931205, 0.6323456170930015,  67.31787642909703, 0.000147451122931205, 0.6323456170930015,  790.8341153818899,  639.2735659874771,  43.70350570782302,   67.3207563688128, 0.01243457081128718, -0.1093400053856044, 0.002241693847, 3.697149821e-007, 0.0001649266168, 511.53768, 2116.22, 1967.755852, 0,                  0,                  0,                  0,                  0,                  0,                  0, 1999.9937062487, 1999.9937062487, -0.07629117856073094, 0.6312450065409831, 0.00974079553034944, 0.53818794363384, 0.00012549347626289, 48.277820293246, -53.917520329976,  8202774.203540166, -11255970.61358005,  15619992.16296319,  8202741.371572411, -11255994.53976129,  15619992.16296319, 0.00016712296528962, 1999.9937062487, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0048, -0.43222, -0, -0, -0, 452.337, 0.002
0.04, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.2647568928151668,  41.79720452339948, 0.1335051838758907,  60.28804002798307,  441.5190018404354, -8.108346070485013, -0.2618926101055437,  41.79720999184828, 0.1304634478403481, 5.0421607, 466859.6639, 67.0710567344, 1017.82421738,   67.0418442984426, -0.01374068505594853,  1.979286669666962,   67.0418442984426, -0.01374068505594853,  1.979286669666962,  790.7461397261166,  639.3940033687263,  43.15076418394347,  67.07087164770769, 0.01052630179182955, 0.1572166576895364, 0.002241694266, 3.697149947e-007, 0.0001649265916, 511.5377024, 2116.22, 1967.756306, 0,                  0,                  0,                  0,                  0,                  0,                  0, 1999.9749968201, 1999.9749968238, -0.1187533709805881,  1.556778358704135, 0.01722577033447918, 1.6910608968324, -0.011738047753587, 48.277823972176, -53.917520329945,  8202790.021479815, -11255957.82983408,  15619993.04329206,  8202740.773557945, -11255993.71913924,  15619993.04329206, 0.00025068444793442, 1999.9749968238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0096, 0.00135011, -0, -0, -0.0044294, 473.883, 0.0040000000000000001
0.06, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.5744768615564436,  32.19614641759185, 0.03731990211515944,  9.861658086548248, -172.8639257138161,   -4.9049290284761, -0.5715664472466364,  32.19615111404549, 0.03432227472952783, 5.005219921, 465146.4063, 66.8248925524, 1017.80757158,  66.72969615187157, -0.0271972602247282,  3.565554153718356,  66.72969615187157, -0.0271972602247282,  3.565554153718356,  790.7446522430328,   639.395222304106,  42.76561012178097,  66.82089722483401, -0.002735426717916854, 0.7307196594987078, 0.002241695509, 3.697150323e-007, 0.0001649265169, 511.5377692, 2116.22, 1967.757655, 0,                  0,                  0,                  0,                  0,                  0,                  0, 1999.9450968094, 1999.9450968094, -0.1040715755714214,  2.432069468786811, 0.01542159226946872, 3.0585650365531, -0.023318979031576, 48.27782763698, -53.91752032991,  8202805.837282366, -11255945.04315839,  15619993.91183476,  8202740.173426238, -11255992.89560965,  15619993.91183476, 0.00033424593057923, 1999.9450968094, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0144, 0.00148179, -0, -0, -0.00486143, 504.647, 0.0060000000000000001
0.08, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.1398898166036088,  13.34584202231669, -0.07497630512730838,  17.77542943792915,  -685.965818566298,  -5.38090945045893, -0.1369508686930873,  13.34584748504282, -0.07794596146977652, 4.968177766, 463422.1345, 66.5771281883, 1017.79047183,  66.39941914964024, -0.02679991353521553,  4.861112645957061,  66.39941914964024, -0.02679991353521553,  4.861112645957061,  790.8557613667176,  639.2417331602017,  42.59830805898075,  66.56235110829024, -0.0002160667447590348,  1.402644891504212, 0.002241697497, 3.697150924e-007, 0.0001649263975, 511.5378758, 2116.22, 1967.759809, 0,                  0,                  0,                  0,                  0,                  0,                  0, 1999.907211341, 1999.907211341, -0.1187050885527334,  2.980007256883014, 0.01421374889659168, 4.1871636315769, -0.023063806146898, 48.27783128772, -53.917520329888,  8202821.652190286, -11255932.25526613,   15619994.7709985,  8202739.572419756, -11255992.07088568,   15619994.7709985, 0.00041780741322404, 1999.907211341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0192, 0.00168043, -0, -0, -0.00551311, 543.131, 0.0080000000000000002
0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.142651256566913, -8.014323907971475, -0.1056437864029675,  5.833669556172882, -940.6600054184545, -2.818057386622361, -0.1397082472056592, -8.014318390260792, -0.1086094176863434, 4.930373453, 461655.7747, 66.3233048431, 1017.77276829,  66.09647935368126, -0.02831360087405006,  5.480454424539943,  66.09647935368126, -0.02831360087405006,  5.480454424539943,  791.0665324600013,  638.9509771511516,  42.62391210932314,  66.29474472316412, -0.003888264683418505,  1.946168616274427, 0.002241700015, 3.697151686e-007, 0.0001649262462, 511.5380109, 2116.22, 1967.76254, 0,                  0,                  0,                  0,                  0,                  0,                  0, 1999.8664709032, 1999.8664709032, -0.1173021449227725,  3.058423881050024, 0.01141261919977094, 4.7398932570603, -0.024459726275906, 48.2778349245, -53.9175203299,  8202837.468194421, -11255919.46889658,  15619995.62463768,  8202738.972529332,  -11255991.2477066,  15619995.62463768, 0.00050136889586885, 1999.8664709032, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.024, 0.0019465, -0, -0, -0.00638605, 587.827, 0.01
0.12, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.04387648845335218, -24.95432477246267, -0.1081863641424034,  5.240559591025912, -878.2200781921526, -0.9812827467697802, -0.04095289425738881, -24.95431898160109, -0.1111711366459198, 4.89187884, 459850.1965, 66.0638431193, 1017.75462266,  65.85099926620703, -0.02527259535225175,  5.298738022738377,  65.85099926620703, -0.02527259535225175,  5.298738022738377,  791.3335841473223,  638.5823832100206,  42.75710932191711,  66.02691085554764, -0.002892761781306994,   2.20871052906005, 0.002241702723, 3.697152504e-007, 0.0001649260835, 511.5381562, 2116.22, 1967.765475, 0,                  0,                  0,                  0,                  0,                  0,                  0, 1999.8283436783, 1999.828343682, -0.1202622764313244,  2.684536261446044, 0.009769183327472928, 4.6004256921087, -0.02191839012042, 48.277838547427, -53.917520329961,   8202853.28741736, -11255906.68696947,  15619996.47685989,  8202738.375877513, -11255990.42899221,  15619996.47685989, 0.00058493037851366, 1999.828343682, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0288, 0.00228006, -0, -0, -0.00748036, 637.408, 0.012
0.14, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.0336171347160266, -32.75127974872253, -0.06387460494475804,  2.081298317359553, -552.6383820853874,  1.107703614990389, -0.03072856285036736, -32.75127385257833, -0.06689328367342425, 4.853196233, 458028.6157, 65.802087087, 1017.73657951,  65.65115441791386, -0.0229536014842797,  4.454218420478959,  65.65115441791386, -0.0229536014842797,  4.454218420478959,  791.6000102584551,  638.2146094245099,  42.88684347189997,  65.76721696164616, -0.003303194533694855,  2.141921384784214, 0.002241705257, 3.697153271e-007, 0.0001649259312, 511.5382922, 2116.22, 1967.768223, 0,                  0,                  0,                  0,                  0,                  0,                  0, 1999.7968407013, 1999.7968407013, -0.1201824789145617,  2.016055875420752, 0.008979608746553359, 3.8813849832999, -0.01998636478819, 48.277842156547, -53.917520330099,  8202869.111418526, -11255893.91163587,   15619997.3306701,  8202737.784023679, -11255989.61689357,   15619997.3306701, 0.00066849186115846, 1999.7968407013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0336, 0.0026809, -0, -0, -0.00879545, 690.795, 0.014000000000000002
0.16, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.002265076945113944, -30.13056414137214, -0.01164068669625028,  1.739511913181162,   -96.855580696332,   2.11066923330379, 0.0005846408255360019,  -30.1305581731924, -0.01469607152683526, 4.814801448, 456213.3666, 65.5412516817, 1017.71896159,  65.45916174385715, -0.02067799032628817,   3.27923592038416,  65.45916174385715, -0.02067799032628817,   3.27923592038416,  791.8140694318055,  637.9189773980064,  42.91552760880738,  65.51617944121202, -0.00269496751292949,  1.812704105288509, 0.002241707351, 3.697153904e-007, 0.0001649258054, 511.5384045, 2116.22, 1967.770493, 0,                  0,                  0,                  0,                  0,                  0,                  0, 1999.7733715661, 1999.7733715661, -0.1207303513503701,  1.283060635326623, 0.009683801446831501, 2.8678864242908, -0.018076578700639, 48.277845751817, -53.917520330331,   8202884.94075447, -11255881.14366594,  15619998.18710963,  8202737.197524343, -11255988.81218089,  15619998.18710963, 0.00075205334380327, 1999.7733715661, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0384, 0.00314881, -0, -0, -0.0103305, 747.156, 0.016
0.18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0196565060688044, -19.24427211246542, 0.02952995831145652,  1.312643937220204,  330.5912072908799,  2.071043684290541, 0.02247534188853522, -19.24426617303562, 0.02644605935087552, 4.776997732, 454418.9433, 65.2834212929, 1017.70207094,  65.24732255776934, -0.020111731563985,  2.170619788898623,  65.24732255776934, -0.020111731563985,  2.170619788898623,  791.9449996259538,  637.7380257051402,  42.78823817781705,  65.26913279139694, -0.002806382614991596,  1.365793721800489, 0.002241708911, 3.697154376e-007, 0.0001649257117, 511.5384882, 2116.22, 1967.772184, 0,                  0,                  0,                  0,                  0,                  0,                  0, 1999.7565560751, 1999.7565560751, -0.120434416887721,   0.70664959808746, 0.0111860500140484, 1.9053885737104, -0.017650995194832, 48.277849333174, -53.917520330649,  8202900.774895267, -11255868.38233007,  15619999.04513334,  8202736.615849556, -11255988.01412458,  15619999.04513334, 0.00083561482644808, 1999.7565560751, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0432, 0.00368358, -0, -0, -0.012085, 805.857, 0.017999999999999999
