TIME,Roll (deg),Pitch (deg),Yaw (deg),,Adjusted time,Pitch with first 40sec neglected
290.979533,-2.110480654,1.024759673,0,,0.019213,17.435992
290.999364,-2.100378002,1.029810999,0.005051326,,0.03983,17.42071222
291.019445,-2.0904051,1.0395949,0.010037777,,0.059825,17.37212656
291.0396,-2.080405348,1.049594652,0.015037653,,0.079719,17.32209009
291.05985,-2.070453429,1.054773286,0.015240327,,0.099729,17.16638366
291.079982,-2.06056347,1.059718265,0.015240327,,0.119493,17.0080817
291.099743,-2.050515884,1.069484116,0.024724443,,0.141078,16.86744239
291.119195,-2.040604795,1.079395205,0.034635533,,0.159779,16.74696417
291.141139,-2.034889578,1.090220843,0.030129905,,0.179593,16.65005585
291.159862,-2.030279932,1.099440136,0.025520259,,0.199553,16.55422041
291.17957,-2.020483974,1.119032051,0.025240327,,0.219392,16.51206767
291.199247,-2.01040122,1.139197561,0.025240327,,0.239655,16.4715285
291.219239,-1.990968469,1.159031531,0.025240327,,0.259745,16.4460473
291.23962,-1.970775766,1.179224234,0.025240327,,0.279754,16.42124808
291.259811,-1.955760473,1.198986035,0.025240327,,0.299778,16.43434632
291.279941,-1.94099122,1.218678373,0.025240327,,0.319519,16.44923882
291.299609,-1.925934884,1.238753487,0.029928699,,0.341208,16.52633438
291.319429,-1.910715657,1.259045791,0.035001775,,0.359861,16.59518665
291.341148,-1.899789272,1.270210728,0.035240327,,0.37958,16.74653721
291.359703,-1.890674919,1.279325081,0.035240327,,0.399183,16.90252792
291.379708,-1.89,1.265887744,0.039944412,,0.419429,17.05767259
291.399745,-1.89,1.250710498,0.045003494,,0.439627,17.21216013
291.419467,-1.880615273,1.23592291,0.04993269,,0.460165,17.38095408
291.439707,-1.87050311,1.220754665,0.054988772,,0.479671,17.54185043
291.46,-1.87,1.210401632,0.060039511,,0.499757,17.66092273
291.479975,-1.87,1.200460359,0.065010147,,0.519234,17.77404672
291.499719,-1.865221664,1.190443327,0.070018663,,0.540892,17.8656894
291.519398,-1.860224964,1.180449929,0.075015363,,0.559921,17.94471735
291.541089,-1.844586225,1.174862075,0.075240327,,0.579578,18.03453305
291.559813,-1.830714198,1.170238066,0.075240327,,0.599517,18.1262113
291.579607,-1.806119819,1.179552072,0.075240327,,0.619555,18.22560393
291.599316,-1.781124892,1.189550043,0.075240327,,0.639535,18.32501928
291.619575,-1.751115308,1.194814115,0.080054442,,0.659774,18.38742687
291.639669,-1.721154076,1.199807654,0.085047981,,0.67988,18.44744478
291.659716,-1.69131496,1.20478084,0.090021167,,0.699793,18.50779665
291.679803,-1.661418401,1.2097636,0.095003927,,0.719423,18.56733111
291.699798,-1.631154312,1.219615229,0.100047942,,0.74121,18.59562823
291.719492,-1.601320945,1.229559685,0.10502017,,0.759991,18.61865037
291.741146,-1.6,1.219744374,0.105240327,,0.779682,18.57742856
291.759736,-1.6,1.21057047,0.105240327,,0.799475,18.53210224
291.779566,-1.637661532,1.186461542,0.105240327,,0.819236,18.5066494
291.799506,-1.67787632,1.1613273,0.105240327,,0.839774,18.48119832
291.819535,-1.708521042,1.136232465,0.109993834,,0.859984,18.38916122
291.839742,-1.738892285,1.110923096,0.115055708,,0.879978,18.29477726
291.859912,-1.764056102,1.085943898,0.115240327,,0.899516,18.17275277
291.879885,-1.788780669,1.061219331,0.115240327,,0.91948,18.04640474
291.899533,-1.813542991,1.036457009,0.119948925,,0.941242,17.89202262
291.919541,-1.838782672,1.011217328,0.124996862,,0.959893,17.75901414
291.941195,-1.84,1.01,0.130361493,,0.979552,17.66017836
291.959867,-1.84,1.01,0.13498339,,0.999414,17.56319344
291.979599,-1.825650171,1.024349829,0.140023603,,1.019391,17.42785111
291.999255,-1.810561896,1.039438104,0.145053029,,1.039786,17.28837087
292.019487,-1.790764014,1.059235986,0.150049324,,1.060223,17.22243008
292.039652,-1.770872031,1.079127969,0.155022319,,1.079966,17.16327207
292.059718,-1.746357048,1.098914362,0.155240327,,1.099641,17.08413747
292.079908,-1.721471676,1.118822659,0.155240327,,1.119402,17.00346593
